model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-o3-mini,family4_codegen,20,5,0.0,0.0,234.34939158614725,266.58843338955194,1.0,,5.242037322231844e-07,1.572611196669553e-07,0.0,0.05,0.003946726399999978,0.0007218207999999948,,,
openai-gpt-4.1-mini,family4_codegen,20,5,0.0,0.0,6629.508450208232,7811.325116828084,0.0,500.0,0.00017868194162688503,5.3604582488065516e-05,0.0010528,0.428125,0.007181388800000033,0.0031020927999999975,,,
openai-gpt-4.1,family4_codegen,20,5,0.0,0.0,6795.820925012231,10706.821291381493,0.0,500.0,0.0008593879653380557,0.0002578163896014167,0.005264,0.01875,0.005372441600000011,0.0009202848000000041,,,
openai-o3-mini,family4_codegen,100,5,0.0,0.0,206.25593320000917,219.10289966035634,1.0,,4.605222897143061e-07,1.3815668691429182e-07,0.0,0.0,0.0026386176000000373,0.0003251359999999981,,,
openai-gpt-4.1,family4_codegen,100,5,0.0,0.0,5852.683000010438,6503.54492503684,0.0,500.0,0.0008476045565855297,0.00025428136697565887,0.0081688,0.009375,0.004458406399999992,0.000622803200000005,,,
openai-gpt-4.1-mini,family4_codegen,100,5,0.0,0.0,7199.89352482371,8730.711082811467,0.0,500.0,0.00018001946002611712,5.400583800783513e-05,0.0016337600000000002,0.053125,0.004901043199999999,0.0007483023999999894,,,
openai-o3-mini,family4_codegen,250,5,0.0,0.0,213.39056661818177,255.80025860108435,1.0,,4.7651239426262614e-07,1.4295371827878785e-07,0.0,0.015625,0.002825088000000031,0.0003230527999999955,,,
openai-gpt-4.1-mini,family4_codegen,250,5,0.0,0.0,7192.067924817093,7731.362691428512,0.0,500.0,0.00018000107606080978,5.400032281824294e-05,0.00272144,-5.159375,0.00443221760000001,0.0005492031999999869,,,
openai-gpt-4.1,family4_codegen,250,5,0.0,0.0,7847.646625386551,11205.0945333438,0.0,500.0,0.0008725398421078993,0.00026176195263236975,0.0136072,0.015625,0.004611750399999925,0.0005960223999999902,,,
openai-o3-mini,family4_codegen,500,5,0.0,0.0,228.36046658921987,251.14443344064057,1.0,,5.095308752141395e-07,1.5285926256424182e-07,0.0,0.003125,0.002437990400000034,0.00037238399999999785,,,
openai-gpt-4.1,family4_codegen,500,5,0.0,0.0,7051.3365916209295,9040.873408387415,0.0,500.0,0.0008625862661677369,0.00025877587985032106,0.0226772,-0.2,0.00418974719999996,0.0004997056000000055,,,
openai-gpt-4.1-mini,family4_codegen,500,5,0.0,0.0,7372.097074589692,9158.1592829898,0.0,500.0,0.00018042205563116348,5.4126616689349045e-05,0.004535440000000001,0.028125,0.005118668800000004,0.0007563775999999967,,,
openai-gpt-4.1,family4_codegen,1000,5,0.4,0.4,7719.613975146785,10817.714508366771,0.0,464.6,0.00081610906993827,0.00024483272098148095,0.040521600000000005,0.040625,0.0041736448000000426,0.0005973792000000033,,,
openai-o3-mini,family4_codegen,1000,5,0.0,0.0,257.318325038068,339.6576750325039,1.0,,5.737572859893574e-07,1.721271857968072e-07,0.0,0.003125,0.002277324799999958,0.0003636159999999944,,,
openai-gpt-4.1-mini,family4_codegen,1000,5,0.0,0.0,8154.479516623542,10569.97052503284,0.0,500.0,0.00018225716574857194,5.4677149724571586e-05,0.00816096,0.01875,0.004196710400000003,0.000464044800000013,,,
