model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-gemma-latest,family4_codegen,20,90,0.23333333333333334,0.23333333333333334,5437.36780597804,10099.785564398917,0.0,143.46666666666667,1.2085161201827744e-05,3.6255483605483233e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,20,90,0.16666666666666666,0.16666666666666666,6082.277046333264,7132.252985200375,0.0,493.1,1.3518299863423126e-05,4.055489959026939e-06,0.0,,,
ollama-qwen-latest,family4_codegen,20,90,0.0,0.43333333333333335,2278.5902458673163,5752.025547542871,0.0,134.8,5.065653567549943e-06,1.5196960702649832e-06,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,20,90,0.0,0.0,3097.738161988673,3585.195416989154,0.0,479.47777777777776,6.88605081466266e-06,2.065815244398798e-06,0.0,,,
ollama-codellama-latest,family4_codegen,20,90,0.0,0.03333333333333333,6307.371240711008,10198.758926745359,0.0,264.9888888888889,1.4018530422066789e-05,4.205559126620036e-06,0.0,,,
ollama-llama2-latest,family4_codegen,20,90,0.0,0.0,6661.964324621982,9829.850760604313,0.0,293.68888888888887,1.480670419645802e-05,4.442011258937405e-06,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,20,90,0.0,0.8888888888888888,9601.23714536696,13168.61493534907,0.0,335.8333333333333,2.13383010924063e-05,6.401490327721887e-06,0.0,,,
ollama-mistral-latest,family4_codegen,20,90,0.0,0.8888888888888888,11186.75685787829,14564.108480951109,0.0,335.8333333333333,2.4861602872435e-05,7.458480861730498e-06,0.0,,,
ollama-llama3-latest,family4_codegen,20,90,0.0,0.0,14117.330147666587,16855.778672802262,0.0,472.8,3.137396118094516e-05,9.412188354283544e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family4_codegen,20,90,0.0,0.0,15003.995049088959,17586.866845501572,0.0,500.0,3.3344259189904915e-05,1.0003277756971475e-05,0.0,,,
ollama-llama2-latest,family4_codegen,100,90,0.2,0.2,7676.440224188587,13064.146522797091,0.0,203.16666666666666,1.706075892652843e-05,5.118227677958529e-06,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,100,90,0.03333333333333333,0.9444444444444444,11043.743726833256,17982.02846439981,0.0,297.15555555555557,2.4543782365379017e-05,7.363134709613706e-06,0.0,,,
ollama-mistral-latest,family4_codegen,100,90,0.03333333333333333,0.9444444444444444,12803.23629811149,20811.09685784977,0.0,297.15555555555557,2.845371813689679e-05,8.536115441069035e-06,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,100,90,0.0,0.0,4383.544373621407,6166.863876891875,0.0,447.55555555555554,9.74334323704228e-06,2.9230029711126843e-06,0.0,,,
ollama-gemma-latest,family4_codegen,100,90,0.0,0.0,5941.193708343619,11416.657992001274,0.0,104.8,1.3204762058470827e-05,3.961428617541248e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,100,90,0.0,0.0,7050.488487433339,9116.152143749605,0.0,500.0,1.566976103862435e-05,4.700928311587305e-06,0.0,,,
