model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-o3-mini,family4_codegen,20,5,0.0,0.0,416.42642519436777,522.1490254625678,1.0,,9.28697325892246e-07,2.7860919776767377e-07,0.0,0.05625,0.0036668928000000546,0.000835420800000003,,,
openai-gpt-4.1,family4_codegen,20,5,0.0,0.0,4820.076183392666,5486.279266211204,0.0,500.0,0.000834693941275282,0.0002504081823825846,0.0052384,0.021875,0.005371046399999991,0.0007419135999999993,,,
openai-gpt-4.1-mini,family4_codegen,20,5,0.0,0.0,7945.651050028391,8966.71366642695,0.0,500.0,0.0001817674928378916,5.4530247851367476e-05,0.00104768,0.496875,0.005758988799999964,0.002550755199999999,,,
openai-gpt-4.1-mini,family4_codegen,100,5,0.6,0.6,7265.316391619854,11437.929708184674,0.0,397.0,0.00014656486145168133,4.3969458435504394e-05,0.00146552,0.040625,0.004305190399999992,0.000474819200000004,,,
openai-o3-mini,family4_codegen,100,5,0.0,0.0,268.70649161282927,313.60569146927446,1.0,,5.998555613618429e-07,1.7995666840855286e-07,0.0,0.0,0.0033500672000000174,0.0003686688000000049,,,
openai-gpt-4.1,family4_codegen,100,5,0.0,0.0,6702.467783214524,9998.56293280609,0.0,500.0,0.0008582256488796978,0.00025746769466390934,0.008151599999999998,-4.753125,0.004287449600000004,0.00037683199999999915,,,
openai-gpt-4.1-mini,family4_codegen,250,5,1.0,1.0,6431.822583358735,7660.051350365393,0.0,374.0,0.00013710669983329273,4.113200994998781e-05,0.0025189599999999998,0.046875,0.003748454400000001,0.00037350399999999673,,,
openai-o3-mini,family4_codegen,250,5,0.0,0.0,219.46768320631236,274.5918498840183,1.0,,4.902327619822815e-07,1.470698285946844e-07,0.0,0.0,0.0029782272000000278,0.0004636831999999924,,,
openai-gpt-4.1,family4_codegen,250,5,0.0,0.0,8048.318741796538,15054.643457988275,0.0,500.0,0.0008750451913776764,0.00026251355741330293,0.013602800000000002,0.00625,0.005203404800000033,0.0007027008000000002,,,
openai-gpt-4.1-mini,family4_codegen,500,5,0.8,0.8,5656.198058207519,7328.342991601676,0.0,368.6,0.0001335259391071579,4.005778173214737e-05,0.004325440000000001,0.01875,0.004194483199999976,0.000553782400000008,,,
openai-o3-mini,family4_codegen,500,5,0.0,0.0,275.8541334187612,300.43468307703733,1.0,,6.153674502639137e-07,1.8461023507917414e-07,0.0,0.0,0.002806169599999997,0.0004061695999999948,,,
openai-gpt-4.1,family4_codegen,500,5,0.0,0.0,7263.558299583383,11653.386899619363,0.0,500.0,0.0008652364970054898,0.000259570949101647,0.022678399999999998,0.05,0.004778598399999989,0.0006945120000000027,,,
openai-gpt-4.1-mini,family4_codegen,1000,5,1.0,1.0,7174.530066805892,9034.898375440389,0.0,352.4,0.00013179950237785637,3.953985071335691e-05,0.00792928,0.021875,0.0037129984000000118,0.0003364127999999966,,,
openai-o3-mini,family4_codegen,1000,5,0.0,0.0,235.63819960691035,267.06042466685176,1.0,,5.255140742375785e-07,1.5765422227127353e-07,0.0,0.0,0.0021730303999999644,0.000379158400000007,,,
openai-gpt-4.1,family4_codegen,1000,5,0.0,0.0,6779.9450165824965,9151.899024960585,0.0,500.0,0.00085918980263009,0.00025775694078902697,0.040827199999999994,0.028125,0.004768435200000009,0.0007456319999999961,,,
