model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1-mini,family4_codegen,25,0.68,0.68,6894.703630004078,9415.625808853654,0.0,398.4,0.00014615289912157597,4.3845869736472794e-05,0.003457376,0.125,0.004344023039999989,0.0008578547200000008,,,
openai-o3-mini,family4_codegen,25,0.0,0.0,283.2185866078362,517.9717421997337,1.0,,6.319334347475725e-07,1.8958003042427175e-07,0.0,0.01125,0.002994877440000012,0.0004906201600000004,,,
openai-gpt-4.1,family4_codegen,25,0.0,0.0,6722.873204913922,12398.808149644168,0.0,500.0,0.0008584782162336473,0.0002575434648700942,0.018099679999999996,-0.929375,0.004881786880000005,0.0006523180799999995,,,
