model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family1_qa,20,5,1.0,1.0,2398.422899818979,2536.7924916325137,0.0,201.2,0.0003416052533530829,0.00010248157600592487,0.0030008,0.034375,0.005929100800000064,0.0011884128000000048,0.0,0.0,
openai-gpt-4.1-mini,family1_qa,20,5,1.0,1.0,3535.2284917840734,4156.771066389047,0.0,220.2,8.013198282174655e-05,2.403959484652396e-05,0.0006305600000000001,0.434375,0.007399385599999975,0.003396972800000003,0.0,0.0,
openai-o3-mini,family1_qa,20,5,0.0,0.0,204.65179982129484,234.62664978578687,1.0,,4.586296223330361e-07,1.3758888669991085e-07,0.0,0.025,0.00433953279999999,0.0009018560000000009,,,
openai-gpt-4.1,family1_qa,100,5,1.0,1.0,2463.1824581883848,2858.432616177015,0.0,220.8,0.00037277103914350694,0.00011183131174305207,0.0060724,0.003125,0.0053449727999999915,0.0008658912000000018,0.0,0.0,
openai-gpt-4.1-mini,family1_qa,100,5,0.8,1.0,3661.4947995869443,4245.303432783112,0.0,225.4,8.212533059330309e-05,2.4637599177990923e-05,0.00122184,0.046875,0.004825753599999994,0.000859675199999993,20.0,44.721359549995796,
openai-o3-mini,family1_qa,100,5,0.0,0.0,201.45217520184815,241.98332556989044,1.0,,4.502917864168054e-07,1.3508753592504162e-07,0.0,0.0,0.003152358399999988,0.0004168959999999888,,,
openai-gpt-4.1,family1_qa,250,5,1.0,1.0,3091.7072918033227,4002.109608333558,0.0,224.2,0.0003859000585426192,0.00011577001756278578,0.011529599999999997,0.009375,0.00431357440000002,0.000765875199999988,0.0,0.0,
openai-gpt-4.1-mini,family1_qa,250,5,1.0,1.0,3723.0672833975405,4729.995683557354,0.0,228.4,8.32484431430574e-05,2.4974532942917226e-05,0.00231264,0.028125,0.00463397120000002,0.000891633600000008,0.0,0.0,
openai-o3-mini,family1_qa,250,5,0.0,0.0,197.3135334206745,217.246458446607,1.0,,4.4099512785546717e-07,1.3229853835664016e-07,0.0,0.0,0.0030064128000000245,0.0004270656000000039,,,
openai-gpt-4.1,family1_qa,500,5,1.0,1.0,3685.8543580165133,5092.706941021606,0.0,231.6,0.0004047866087109585,0.00012143598261328756,0.02066,0.0125,0.004521036800000067,0.0007890623999999957,0.0,0.0,
openai-gpt-4.1-mini,family1_qa,500,5,0.4,1.0,5463.85817497503,8748.461708752438,0.0,232.6,8.869785971303216e-05,2.660935791390965e-05,0.0041336,0.021875,0.004876159999999996,0.0009312016000000034,17500.0,37340.51419035362,
openai-o3-mini,family1_qa,500,5,0.0,0.0,205.9178502066061,228.69473318569362,1.0,,4.5995734496706117e-07,1.3798720349011836e-07,0.0,0.003125,0.002768383999999946,0.0004492096000000001,,,
openai-gpt-4.1,family1_qa,1000,5,0.8,1.0,4848.2340248068795,8531.003082823008,0.0,227.8,0.0004134302892028643,0.0001240290867608593,0.038784799999999994,0.015625,0.0046385663999998885,0.0008498208000000063,12.0,26.832815729997478,
openai-gpt-4.1-mini,family1_qa,1000,5,0.4,1.0,5329.018141608685,7005.901082837954,0.0,267.0,9.960797524224033e-05,2.9882392572672096e-05,0.007819679999999999,0.003125,0.0039794432000000105,0.0005853311999999888,10200.0,22320.483865722985,
openai-o3-mini,family1_qa,1000,5,0.0,0.0,213.41981636360288,223.07683317922056,1.0,,4.76496059474673e-07,1.4294881784240192e-07,0.0,0.0,0.002572774399999966,0.0004645759999999943,,,
