model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen-latest,family4_codegen,20,90,0.0,0.6666666666666666,2362.5588356429944,7669.840737488994,0.0,144.83333333333334,5.2522126125399885e-06,1.5756637837619962e-06,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,20,90,0.0,0.0,2858.5447121337183,3324.412266133004,0.0,471.53333333333336,6.354609126900328e-06,1.9063827380700983e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,20,90,0.0,0.0,6341.585925900694,7560.882281247905,0.0,500.0,1.4094238582070327e-05,4.228271574621097e-06,0.0,,,
ollama-codellama-latest,family4_codegen,20,90,0.0,0.4666666666666667,6746.968481888891,10424.44532064983,0.0,306.74444444444447,1.4995252164592597e-05,4.498575649377779e-06,0.0,,,
ollama-llama2-latest,family4_codegen,20,90,0.0,0.0,7150.311959678786,10392.661643748579,0.0,288.1111111111111,1.5891677685240333e-05,4.7675033055721e-06,0.0,,,
ollama-mistral-latest,family4_codegen,20,90,0.0,0.8555555555555555,8774.99245184396,11365.340962656772,0.0,368.02222222222224,1.9501988990185877e-05,5.8505966970557624e-06,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,20,90,0.0,0.8555555555555555,9230.699849588564,11836.316075145442,0.0,368.02222222222224,2.0514940678436665e-05,6.154482203530999e-06,0.0,,,
ollama-llama3-latest,family4_codegen,20,90,0.0,0.0,11296.907406932829,12887.292981091014,0.0,496.1666666666667,2.5106300304845444e-05,7.531890091453631e-06,0.0,,,
ollama-gemma-latest,family4_codegen,20,90,0.0,0.3333333333333333,11419.66514721183,14802.985383306805,0.0,428.73333333333335,2.5379073990036868e-05,7.61372219701106e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family4_codegen,20,90,0.0,0.0,12358.677158355325,14025.926693596557,0.0,500.0,2.7465986345847814e-05,8.239795903754344e-06,0.0,,,
ollama-llama2-latest,family4_codegen,100,90,0.2111111111111111,0.5444444444444444,7927.688203691247,14861.283720652864,0.0,194.94444444444446,1.761889838833681e-05,5.285669516501042e-06,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,100,90,0.0,0.0,4365.341942488642,5678.639583155746,0.0,493.0444444444444,9.702772824634374e-06,2.910831847390313e-06,0.0,,,
ollama-gemma-latest,family4_codegen,100,90,0.0,0.0,4746.006039811053,9889.000158701674,0.0,77.64444444444445,1.0548634594740608e-05,3.164590378422182e-06,0.0,,,
ollama-codellama-latest,family4_codegen,100,90,0.0,0.0,7662.784656868058,12971.442137514532,0.0,212.03333333333333,1.7030450712616847e-05,5.109135213785055e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,100,90,0.0,0.0,8094.949703677331,10577.006054053345,0.0,500.0,1.7990405611311176e-05,5.397121683393352e-06,0.0,,,
ollama-qwen-latest,family4_codegen,100,90,0.0,0.0,8641.715886190002,12985.234149846656,0.0,500.0,1.920556044933934e-05,5.761668134801801e-06,0.0,,,
ollama-mistral-latest,family4_codegen,100,90,0.0,1.0,10125.188306444841,16428.369697951708,0.0,316.06666666666666,2.2502463462731042e-05,6.750739038819311e-06,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,100,90,0.0,1.0,10812.012515699542,17603.892031106076,0.0,316.06666666666666,2.402885454115948e-05,7.208656362347843e-06,0.0,,,
ollama-llama3-latest,family4_codegen,100,90,0.0,0.0,12908.820704633641,18084.464862797176,0.0,495.46666666666664,2.868837372384901e-05,8.606512117154702e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family4_codegen,100,90,0.0,0.0,14400.67634998882,19004.34666409783,0.0,500.0,3.200363115122737e-05,9.60108934536821e-06,0.0,,,
ollama-gemma-latest,family4_codegen,250,90,0.36666666666666664,0.6333333333333333,12077.185198589965,26377.34551439644,0.0,166.73333333333332,2.6839952857480346e-05,8.051985857244105e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family4_codegen,250,90,0.08888888888888889,0.08888888888888889,18237.551834676156,29380.458516150247,0.0,494.74444444444447,4.0529835428098687e-05,1.2158950628429605e-05,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,250,90,0.03333333333333333,0.16666666666666666,9559.915751389053,15695.064152295527,0.0,480.7,2.1245828885467737e-05,6.37374866564032e-06,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,250,90,0.0,0.0,4658.446721731323,10561.198839658755,0.0,265.34444444444443,1.0353794851621636e-05,3.1061384554864896e-06,0.0,,,
ollama-llama3-latest,family4_codegen,250,90,0.0,0.0,11190.585137488475,20467.80838109262,0.0,299.93333333333334,2.486977423230243e-05,7.460932269690728e-06,0.0,,,
ollama-qwen-latest,family4_codegen,250,90,0.0,0.0,13132.082261489188,23878.04605436395,0.0,372.6551724137931,2.9184113652381618e-05,8.755234095714484e-06,0.0,,,
ollama-llama2-latest,family4_codegen,250,90,0.0,0.0,14777.788493508058,16258.497105946299,0.0,156.5222222222222,3.284113108559463e-05,9.852339325678387e-06,0.0,,,
ollama-mistral-latest,family4_codegen,250,90,0.0,0.6444444444444445,16274.07258337868,32299.468974863703,0.0,351.75555555555553,3.616632803171982e-05,1.0849898409515948e-05,0.0,,,
ollama-codellama-latest,family4_codegen,250,90,0.0,0.0,16674.533365277846,31936.046646340394,0.0,306.2888888888889,3.705635466445517e-05,1.111690639933655e-05,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,250,90,0.0,0.6444444444444445,16972.990726866476,33482.41383765053,0.0,351.75555555555553,3.7719598947548075e-05,1.1315879684264422e-05,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,500,90,0.2777777777777778,0.34444444444444444,13049.641044000195,26022.940424853005,0.0,442.22222222222223,2.9000758114272046e-05,8.700227434281611e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family4_codegen,500,90,0.17777777777777778,0.17777777777777778,25265.17144077774,50171.54142850122,0.0,461.55555555555554,5.614665481305813e-05,1.6843996443917437e-05,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,500,90,0.0,0.0,5295.127927290418,14052.408947958611,0.0,57.266666666666666,1.1768524456299693e-05,3.530557336889908e-06,0.0,,,
ollama-qwen-latest,family4_codegen,500,90,0.0,0.0,13227.93255465739,34418.67889214627,0.0,,2.9396868672938815e-05,8.819060601881645e-06,0.0,,,
ollama-llama2-latest,family4_codegen,500,90,0.0,0.0,14684.210578321492,15383.714824862545,0.0,171.13333333333333,3.2633178477793794e-05,9.789953543338138e-06,0.0,,,
ollama-mistral-latest,family4_codegen,500,90,0.0,0.5777777777777777,24521.067509689598,57435.74314171419,0.0,284.3222222222222,5.449286147778641e-05,1.6347858443335925e-05,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,500,90,0.0,0.5777777777777777,26025.636939322187,61297.11266875456,0.0,284.3222222222222,5.783646697923448e-05,1.735094009377035e-05,0.0,,,
ollama-gemma-latest,family4_codegen,500,90,0.0,0.0,26978.857718565596,27460.91617080383,0.0,31.77777777777778,5.995461763219867e-05,1.79863852896596e-05,0.0,,,
ollama-codellama-latest,family4_codegen,500,90,0.0,0.0,30189.15020878938,60035.55078939098,0.0,326.73333333333335,6.708869769143318e-05,2.0126609307429954e-05,0.0,,,
ollama-llama3-latest,family4_codegen,500,90,0.0,0.0,32251.997937022108,35851.948191311385,0.0,333.0444444444444,7.167274579768583e-05,2.1501823739305746e-05,0.0,,,
ollama-qwen2.5-7b-instruct,family4_codegen,1000,90,0.3,0.3,44151.45923287782,104272.96118910162,0.0,452.7111111111111,9.811612789212358e-05,2.943483836763707e-05,0.0,,,
ollama-codellama-latest,family4_codegen,1000,90,0.26666666666666666,0.26666666666666666,78934.83942174353,91705.14403750713,0.0,500.0,0.00017541234201245298,5.26237026037359e-05,0.0,,,
ollama-deepseek-coder-latest,family4_codegen,1000,90,0.0,0.0,14541.776482898664,14959.066793452075,0.0,85.12222222222222,3.2316558722039365e-05,9.694967616611807e-06,0.0,,,
ollama-llama2-latest,family4_codegen,1000,90,0.0,0.0,14705.688211633566,14983.003881383047,0.0,171.33333333333334,3.268081784578888e-05,9.804245353736663e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family4_codegen,1000,90,0.0,0.03333333333333333,24851.944088033473,55918.8912664511,0.0,494.1,5.522805007975692e-05,1.6568415023927078e-05,0.0,,,
ollama-gemma-latest,family4_codegen,1000,90,0.0,0.0,26863.00924029816,27072.839437652146,0.0,31.011111111111113,5.969713414793595e-05,1.790914024438078e-05,0.0,,,
ollama-llama3-latest,family4_codegen,1000,90,0.0,0.0,31942.526767110878,35255.622429345385,0.0,351.6777777777778,7.098494962336456e-05,2.1295484887009368e-05,0.0,,,
ollama-qwen-latest,family4_codegen,1000,90,0.0,0.0,32881.3082647568,96100.40275188512,0.0,,7.307122004293752e-05,2.192136601288126e-05,0.0,,,
ollama-mistral-latest,family4_codegen,1000,90,0.0,0.9333333333333333,49744.467771312986,129929.14686440199,0.0,275.5777777777778,0.00011054489048039217,3.316346714411765e-05,0.0,,,
ollama-mistral-7b-instruct,family4_codegen,1000,90,0.0,0.9333333333333333,55025.42469811079,146436.95737254966,0.0,275.5777777777778,0.00012228034536977,3.6684103610931e-05,0.0,,,
