model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-7b-instruct,family4_codegen,450,0.11333333333333333,0.11333333333333333,22882.707203335176,97370.09665435179,0.0,481.8022222222222,5.085244712607111e-05,1.5255734137821332e-05,0.0,-0.00982638888888889,0.0019777570133333493,0.000728415431111111,,,
ollama-gemma-latest,family4_codegen,450,0.07333333333333333,0.19333333333333333,16416.94466889532,27073.080769041553,0.0,147.18,3.6483882644478485e-05,1.0945164793343545e-05,0.0,-0.013298611111111112,0.0017451736177776745,0.0006840795022222156,,,
ollama-qwen2.5-3b-instruct,family4_codegen,450,0.06222222222222222,0.10888888888888888,12379.607302600149,54296.460774997104,0.0,483.40444444444444,2.751185625457564e-05,8.253556876372693e-06,0.0,-0.1111111111111111,0.0016256864711111157,0.0005780254044444448,,,
ollama-codellama-latest,family4_codegen,450,0.05333333333333334,0.14666666666666667,28041.65522691354,87459.05646860918,0.0,330.36,6.231661944911016e-05,1.869498583473305e-05,0.0,-0.06111111111111111,0.0017863657244444337,0.0007064672711111303,,,
ollama-llama2-latest,family4_codegen,450,0.042222222222222223,0.10888888888888888,11849.13748936663,15578.606577200115,0.0,196.4088888888889,2.633314069655089e-05,7.899942208965266e-06,0.0,0.007291666666666667,0.0016980468622222133,0.0006503935999999931,,,
ollama-deepseek-coder-latest,family4_codegen,450,0.0,0.0,6343.847557308553,14557.776141696377,0.0,274.46222222222224,1.4099251996299079e-05,4.229775598889723e-06,0.0,0.00010416666666666667,0.0017901340444448188,0.0006794387911111126,,,
ollama-qwen-latest,family4_codegen,450,0.0,0.13333333333333333,14049.119560547277,90762.56251030572,0.0,300.72222222222223,3.122199508602746e-05,9.366598525808237e-06,0.0,-0.050798611111111114,0.0016902371555557257,0.0006654805333333345,,,
ollama-llama3-latest,family4_codegen,450,0.0,0.0,19918.16759063759,33893.779764960345,0.0,395.2577777777778,4.4264428736409454e-05,1.3279328620922833e-05,0.0,0.006215277777777778,0.0018338019555556191,0.0006645267911111125,,,
ollama-mistral-latest,family4_codegen,450,0.0,0.8022222222222222,21887.957724534015,123652.22968764573,0.0,319.1488888888889,4.864170648856306e-05,1.459251194656892e-05,0.0,0.0005555555555555556,0.0017854236444444006,0.0006670594844444445,,,
ollama-mistral-7b-instruct,family4_codegen,450,0.0,0.8022222222222222,23613.352945917515,132978.87092120436,0.0,319.1488888888889,5.247604130322975e-05,1.574281239096892e-05,0.0,-0.05954861111111111,0.0018884403200000893,0.000731876977777781,,,
