model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-deepseek-coder-latest,family3_forecast,450,0.0,0.006666666666666667,3711.995426558165,6401.6946581192315,0.0,248.74666666666667,8.249967997123259e-06,2.474990399136978e-06,0.0,6.944444444444444e-05,0.0010238134044444063,0.00045995093333333167,199899.20000000004,199899.2,
ollama-qwen2.5-3b-instruct,family3_forecast,450,0.0,0.9888888888888889,7080.798349071087,9719.662155769764,0.0,178.1,1.5736155777514582e-05,4.720846733254376e-06,0.0,0.0015277777777777779,0.0009804273777777725,0.0004475750755555561,2049854.3047272726,7201673.1645162385,
ollama-qwen-latest,family3_forecast,450,0.0,0.0,7427.031400428257,13808.96145259025,0.0,205.58992805755395,1.6505618886403536e-05,4.95168566592106e-06,0.0,0.0,0.0010348589511110934,0.00046987150222221587,,,
ollama-gemma-latest,family3_forecast,450,0.0,0.8955555555555555,13127.37778339535,20723.116350220513,0.0,70.42666666666666,2.9173083842640818e-05,8.751925152792243e-06,0.0,-0.013506944444444445,0.0010706625422222437,0.00047295715555555783,906447.2847593582,3933630.122572749,
ollama-llama3-latest,family3_forecast,450,0.0,0.78,13694.357016220069,22577.38381016534,0.0,161.81333333333333,3.0432991427570516e-05,9.129897428271156e-06,0.0,-0.10496527777777778,0.0010255382755555765,0.00045505991111111386,566925.6884131054,1073183.888504995,
ollama-llama2-latest,family3_forecast,450,0.0,0.02,14642.473931116983,21164.214794011787,0.0,210.92,3.2539959162611994e-05,9.761987748783597e-06,0.0,-0.0006597222222222222,0.001069524764444441,0.0004672728177777794,1823965.2666666668,2989784.2689198004,
ollama-qwen2.5-7b-instruct,family3_forecast,450,0.0,0.9555555555555556,16580.637996944908,26926.39513134489,0.0,209.60222222222222,3.684694192085112e-05,1.1054082576255336e-05,0.0,0.0003125,0.0010170174577777994,0.00045371640888888814,819314.3725581396,2787206.3100126088,
ollama-codellama-latest,family3_forecast,450,0.0,0.02666666666666667,16796.85027112874,26855.937385116704,0.0,306.4577777777778,3.732748915253018e-05,1.1198246745759054e-05,0.0,0.00010416666666666667,0.001100640711111088,0.0004729517511111133,303453.98333333334,423425.2951058427,
ollama-mistral-7b-instruct,family3_forecast,450,0.0,0.9444444444444444,16877.155358971406,27730.82620964849,0.0,198.84444444444443,3.7505850249695886e-05,1.1251755074908768e-05,0.0,-6.944444444444444e-05,0.0010015857777777744,0.00044307313777777686,26946696.578475334,165551158.4561825,
ollama-mistral-latest,family3_forecast,450,0.0,0.9444444444444444,16908.357853079215,27774.831412592896,0.0,198.84444444444443,3.757524595926598e-05,1.1272573787779795e-05,0.0,0.00010416666666666667,0.0010573050311110698,0.00046477070222221547,26946696.578475334,165551158.4561825,
