model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen-latest,family3_forecast,20,90,0.0,0.0,1389.4838199071173,3315.58428122662,0.0,56.43333333333333,3.0887222366613184e-06,9.266166709983956e-07,0.0,,,
ollama-deepseek-coder-latest,family3_forecast,20,90,0.0,0.0,2908.699946772928,3677.8605688596144,0.0,443.14444444444445,6.464879039474231e-06,1.9394637118422692e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family3_forecast,20,90,0.0,1.0,3099.4987707585096,5102.178516052663,0.0,204.12222222222223,6.88880656182138e-06,2.0666419685464138e-06,0.0,70112.31666666667,130385.91927616645,
ollama-gemma-latest,family3_forecast,20,90,0.0,1.0,3151.3077745058886,5024.501797975972,0.0,71.06666666666666,7.003995669004265e-06,2.10119870070128e-06,0.0,53740.53333333333,85617.2557501193,
ollama-llama3-latest,family3_forecast,20,90,0.0,0.9666666666666667,3225.088463915098,6457.740979106165,0.0,101.3,7.167862097052951e-06,2.1503586291158855e-06,0.0,265648.23486206896,512897.184396747,
ollama-qwen2.5-7b-instruct,family3_forecast,20,90,0.0,0.9,6091.80522733368,15638.04221029859,0.0,166.9,1.3538370175909058e-05,4.0615110527727175e-06,0.0,622075.0148148147,1201662.7382384145,
ollama-llama2-latest,family3_forecast,20,90,0.0,0.0,7239.3877944443375,13717.753622867165,0.0,282.6,1.6088627105791648e-05,4.8265881317374946e-06,0.0,,,
ollama-codellama-latest,family3_forecast,20,90,0.0,0.03333333333333333,8872.89075232111,13984.704970591702,0.0,358.73333333333335,1.9718659283112166e-05,5.915597784933649e-06,0.0,10171.0,10171.0,
ollama-mistral-latest,family3_forecast,20,90,0.0,0.9,9111.56575646148,14971.190079371445,0.0,266.52222222222224,2.02489835373077e-05,6.074695061192309e-06,0.0,190017.7037037037,361919.78851431014,
ollama-mistral-7b-instruct,family3_forecast,20,90,0.0,0.9,9323.321541698857,15384.32886453811,0.0,266.52222222222224,2.0719524994674706e-05,6.215857498402413e-06,0.0,190017.7037037037,361919.78851431014,
ollama-deepseek-coder-latest,family3_forecast,100,90,0.0,0.0,2692.362503660843,5898.58853733167,0.0,228.2888888888889,5.984109832445612e-06,1.7952329497336832e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family3_forecast,100,90,0.0,1.0,4818.905312526557,9004.69066526275,0.0,212.27777777777777,1.0709713459186e-05,3.2129140377557996e-06,0.0,4412852.798888888,11197206.979566703,
ollama-gemma-latest,family3_forecast,100,90,0.0,1.0,5836.530987012924,12884.093158179894,0.0,69.86666666666666,1.2971241731055176e-05,3.891372519316553e-06,0.0,1118285.9266666665,5436387.63464403,
ollama-qwen-latest,family3_forecast,100,90,0.0,0.0,9368.390211488844,15043.36603381671,0.0,500.0,2.0819782819858806e-05,6.245934845957642e-06,0.0,,,
ollama-mistral-latest,family3_forecast,100,90,0.0,0.9666666666666667,9849.234135624849,19653.968548122793,0.0,188.51111111111112,2.1888286042157514e-05,6.566485812647254e-06,0.0,1310493.2068965517,5568605.659167901,
ollama-mistral-7b-instruct,family3_forecast,100,90,0.0,0.9666666666666667,10027.463881371335,19980.762603878975,0.0,188.51111111111112,2.2284285273396616e-05,6.685285582018985e-06,0.0,1310493.2068965517,5568605.659167901,
ollama-llama3-latest,family3_forecast,100,90,0.0,0.4444444444444444,10527.951699557403,16933.293387759477,0.0,325.5111111111111,2.339651730589476e-05,7.018955191768428e-06,0.0,627570.575,1318599.3900943475,
ollama-qwen2.5-7b-instruct,family3_forecast,100,90,0.0,0.9333333333333333,10601.912150516486,21167.44536606129,0.0,232.06666666666666,2.3560852427334697e-05,7.068255728200408e-06,0.0,303176.51428571425,576849.119843866,
ollama-codellama-latest,family3_forecast,100,90,0.0,0.0,10764.599425480184,18804.75394190289,0.0,277.1333333333333,2.3922474925673775e-05,7.176742477702133e-06,0.0,,,
ollama-llama2-latest,family3_forecast,100,90,0.0,0.0,10903.462796813497,23388.37704609614,0.0,284.3888888888889,2.4230993947684314e-05,7.2692981843052954e-06,0.0,,,
ollama-deepseek-coder-latest,family3_forecast,250,90,0.0,0.0,4130.666437931359,6536.003585043363,0.0,167.13333333333333,9.180333766577624e-06,2.7541001299732866e-06,0.0,,,
ollama-qwen-latest,family3_forecast,250,90,0.0,0.0,8945.813418997244,10538.900977163576,0.0,500.0,1.988072767870287e-05,5.964218303610861e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family3_forecast,250,90,0.0,0.9555555555555556,9138.84091200307,9640.848567057401,0.0,159.85555555555555,2.0309542406038566e-05,6.0928627218115706e-06,0.0,341896.4413793104,388940.81472178624,
ollama-llama2-latest,family3_forecast,250,90,0.0,0.0,18068.036709198106,20738.683677394874,0.0,153.56666666666666,4.015230783552313e-05,1.204569235065694e-05,0.0,,,
ollama-llama3-latest,family3_forecast,250,90,0.0,0.8333333333333334,18242.928639400958,23763.807987445034,0.0,128.17777777777778,4.054092797998801e-05,1.2162278393996403e-05,0.0,522178.4400000001,672208.2394435974,
ollama-gemma-latest,family3_forecast,250,90,0.0,0.8222222222222222,18895.594573083024,21206.963564176112,0.0,69.12222222222222,4.1991331638018715e-05,1.2597399491405612e-05,0.0,542386.3033333332,694950.1215864128,
ollama-mistral-latest,family3_forecast,250,90,0.0,1.0,21033.887200517995,26453.68304385338,0.0,160.14444444444445,4.674307918035392e-05,1.4022923754106174e-05,0.0,88642284.37894738,284143650.86224955,
ollama-mistral-7b-instruct,family3_forecast,250,90,0.0,1.0,21212.853844422432,26652.754766237922,0.0,160.14444444444445,4.714075076680821e-05,1.4142225230042468e-05,0.0,88642284.37894738,284143650.86224955,
ollama-codellama-latest,family3_forecast,250,90,0.0,0.022222222222222223,21572.72395514883,26773.232678719796,0.0,310.93333333333334,4.794049446210852e-05,1.4382148338632553e-05,0.0,398516.2,398516.2,
ollama-qwen2.5-7b-instruct,family3_forecast,250,90,0.0,0.9444444444444444,22265.70132446165,28158.9608852053,0.0,226.0,4.948040071033099e-05,1.48441202130993e-05,0.0,510557.5317647059,656001.4591481157,
ollama-deepseek-coder-latest,family3_forecast,500,90,0.0,0.0,4305.3389383997355,6468.650901736692,0.0,188.73333333333332,9.56847492718107e-06,2.8705424781543214e-06,0.0,,,
ollama-qwen-latest,family3_forecast,500,90,0.0,0.0,9047.891051327395,16194.394256384112,0.0,388.6666666666667,2.010760208096035e-05,6.032280624288104e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family3_forecast,500,90,0.0,1.0,9126.228700924872,9866.076277405955,0.0,156.6,2.028155135999178e-05,6.084465407997534e-06,0.0,1299219.3133333332,2144569.8205280476,
ollama-llama3-latest,family3_forecast,500,90,0.0,0.8555555555555555,18058.990263017928,22228.205622755922,0.0,119.0111111111111,4.013223426042079e-05,1.2039670278126238e-05,0.0,742798.9896103897,1417265.5387890728,
ollama-llama2-latest,family3_forecast,500,90,0.0,0.03333333333333333,18267.412555538533,21044.91092050448,0.0,154.8111111111111,4.0595405091404845e-05,1.2178621527421454e-05,0.0,241318.0,241319.66041331983,
ollama-gemma-latest,family3_forecast,500,90,0.0,0.7888888888888889,18926.65608007875,21362.737429188564,0.0,73.64444444444445,4.206036793403037e-05,1.261811038020911e-05,0.0,872400.7903225806,1582507.5108544638,
ollama-codellama-latest,family3_forecast,500,90,0.0,0.044444444444444446,20794.01905603914,26943.784712115303,0.0,267.2111111111111,4.62101083613427e-05,1.3863032508402812e-05,0.0,238662.3,257348.90626590975,
