model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family3_forecast,20,5,0.2,0.6,9834.24146657344,17591.268975031562,0.4,216.0,0.00030136224971053085,9.040867491315925e-05,0.0017644,0.06875,0.009163123200000057,0.0019126432000000026,888.8888888888614,1217.16002174152,
openai-gpt-4.1-mini,family3_forecast,20,5,0.2,0.8,27975.739025184885,42712.26045018993,0.2,222.5,0.00010119859842162813,3.0359579526488435e-05,0.00047936,-8.196875,0.0094637568,0.004008756800000002,34679.08250000003,68693.11585232231,
openai-o3-mini,family3_forecast,20,5,0.0,0.0,240.02633322961628,289.7063411772251,1.0,,5.365955653356552e-07,1.6097866960069657e-07,0.0,0.003125,0.0036081919999999988,0.0007557855999999919,,,
openai-gpt-4.1,family3_forecast,100,5,0.2,0.4,6667.329616611823,13656.782841822132,0.6,210.0,0.00019650533332942564,5.895159999882769e-05,0.0023192,0.009375,0.010185190400000054,0.001782223999999999,28015.831666666665,39620.369104161626,
openai-o3-mini,family3_forecast,100,5,0.0,0.0,248.31091659143567,304.5699411071837,1.0,,5.543478177587459e-07,1.6630434532762375e-07,0.0,0.003125,0.0028806399999999678,0.0005871263999999987,,,
openai-gpt-4.1-mini,family3_forecast,100,5,0.0,0.0,2833.509733597748,3134.906817274168,1.0,,6.301917700693408e-06,1.8905753102080226e-06,0.0,0.065625,0.006243648000000013,0.0008796480000000051,,,
openai-o3-mini,family3_forecast,250,5,0.0,0.0,202.28548320010304,220.61739200726151,1.0,,4.5187829079387976e-07,1.3556348723816393e-07,0.0,0.0,0.002813644800000059,0.00039424000000000127,,,
openai-gpt-4.1,family3_forecast,250,5,0.0,0.2,6199.415308400057,11648.378983419387,0.8,215.0,0.00010723852200327706,3.217155660098312e-05,0.0022556,0.03125,0.009317632000000043,0.0017159264000000118,0.003333333330374444,0.003333333330374444,
openai-gpt-4.1-mini,family3_forecast,250,5,0.0,0.2,8214.271399844438,22210.39611662272,0.8,307.0,3.7976198078432844e-05,1.1392859423529852e-05,0.00048056,0.059375,0.0059361280000000075,0.0008187519999999892,1615.6666666666679,1615.6666666666679,
openai-o3-mini,family3_forecast,500,5,0.0,0.0,268.23463342152536,302.81917504034936,1.0,,5.981565393494216e-07,1.7944696180482643e-07,0.0,0.003125,0.0024367104000000417,0.0003960096000000024,,,
openai-gpt-4.1,family3_forecast,500,5,0.0,0.4,11896.812491794117,22853.284616791643,0.6,229.0,0.0002202951040951138,6.608853122853414e-05,0.0082044,0.484375,0.008210150400000015,0.0021178624000000035,293182.99666666694,383062.99087545235,
openai-gpt-4.1-mini,family3_forecast,500,5,0.0,0.6,18382.272108644247,33741.52373347897,0.4,292.3333333333333,9.492964981204908e-05,2.8478894943614723e-05,0.00252008,0.1375,0.007159206399999984,0.0011358112000000031,287937.7788888888,476278.50534344243,
openai-o3-mini,family3_forecast,1000,5,0.0,0.0,229.41454178653657,240.75590001884848,1.0,,5.1197905870024e-07,1.53593717610072e-07,0.0,0.003125,0.002511436800000011,0.0004430463999999967,,,
openai-gpt-4.1,family3_forecast,1000,5,0.0,0.6,10766.659783176146,17698.458116385154,0.4,205.33333333333334,0.00029945846837487817,8.983754051246344e-05,0.023070399999999998,0.0625,0.008261171200000028,0.001959516800000005,39233.78000000001,45076.683323002275,
openai-gpt-4.1-mini,family3_forecast,1000,5,0.0,0.8,36107.94538340997,45209.02326675132,0.2,302.0,0.00014688222298908394,4.406466689672517e-05,0.006277199999999999,0.1,0.007605772799999988,0.0011874976000000037,43503.167499999996,57566.334624959236,
