model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1-mini,family2_anomaly,25,1.0,1.0,3441.580876670778,4940.363941597751,0.0,226.48,8.196246205150834e-05,2.4588738615452504e-05,0.00463664,0.09875,0.004757655039999986,0.0009248524800000008,,,1.0
openai-gpt-4.1,family2_anomaly,25,1.0,1.0,4106.242880122736,8312.380233407013,0.0,227.68,0.0004039677316156479,0.00012119031948469437,0.023192800000000003,0.003125,0.004786897919999982,0.0005822745600000018,,,1.0
openai-o3-mini,family2_anomaly,25,0.0,0.0,229.80221834033728,311.60518303513527,1.0,,5.129355020388447e-07,1.538806506116534e-07,0.0,0.00125,0.00272181247999999,0.00036199423999999647,,,0.0
