model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-o3-mini,family3_forecast,20,5,0.0,0.0,201.15186655893922,235.53388295695186,1.0,,4.506797866389125e-07,1.3520393599167375e-07,0.0,0.021875,0.004081996799999965,0.0009248191999999989,,,
openai-gpt-4.1,family3_forecast,20,5,0.0,0.2,4439.627599995583,5371.070716413669,0.0,468.8,0.0007816088958015296,0.0002344826687404589,0.005021600000000001,0.01875,0.005408383999999966,0.0011989888000000005,148322.96426978416,148322.96426978416,
openai-gpt-4.1-mini,family3_forecast,20,5,0.0,0.2,5199.346941779368,5700.999150145799,0.0,469.4,0.00016534463441322168,4.9603390323966514e-05,0.0010052799999999999,0.46875,0.007900787199999981,0.0033563407999999905,116727.56426978414,116727.56426978414,
openai-o3-mini,family3_forecast,100,5,0.0,0.0,234.3535085907206,292.0473331818357,1.0,,5.2372282493176e-07,1.5711684747952803e-07,0.0,0.0,0.003382553599999971,0.0006184575999999941,,,
openai-gpt-4.1,family3_forecast,100,5,0.0,0.4,5442.754441592842,8893.423691624776,0.0,487.0,0.000822342665747865,0.0002467027997243595,0.0080708,0.00625,0.004841856,0.0005417375999999974,68083.86247552023,92797.131187437,
openai-gpt-4.1-mini,family3_forecast,100,5,0.0,0.0,6357.408716599457,7675.71837475989,0.0,500.0,0.00017804430729057691,5.3413292187173076e-05,0.00163496,0.034375,0.005196287999999938,0.0005436928000000063,,,
openai-o3-mini,family3_forecast,250,5,0.0,0.0,200.49610841087997,213.7523917714134,1.0,,4.4797062370671743e-07,1.343911871120152e-07,0.0,0.003125,0.002932403200000033,0.0003690911999999935,,,
openai-gpt-4.1,family3_forecast,250,5,0.0,0.2,4574.121891823597,5056.400842219591,0.0,481.4,0.0008028129213249613,0.00024084387639748835,0.01347,0.00625,0.003940480000000024,0.0005077728000000004,371880.5729971216,371880.5729971216,
openai-gpt-4.1-mini,family3_forecast,250,5,0.0,0.0,6462.353308382444,7824.309841776267,0.0,500.0,0.00017829071272051135,5.34872138161534e-05,0.00272376,0.015625,0.005123187199999979,0.0005736032000000002,,,
openai-o3-mini,family3_forecast,500,5,0.0,0.0,208.25247520115227,230.24680058006197,1.0,,4.649331121295446e-07,1.3947993363886337e-07,0.0,0.0,0.0025173759999999046,0.00041104639999999806,,,
openai-gpt-4.1,family3_forecast,500,5,0.0,0.2,5373.99195858743,6025.360700394958,0.0,495.4,0.0008344942474907337,0.00025034827424722005,0.0226804,0.0125,0.004276454399999974,0.0004231551999999972,12688.878165122529,12688.878165122529,
openai-gpt-4.1-mini,family3_forecast,500,5,0.0,0.0,6004.62592500262,7172.548241564073,0.0,500.0,0.00017721713107997182,5.316513932399155e-05,0.004543440000000001,0.021875,0.005430143999999993,0.0006152032000000029,,,
openai-o3-mini,family3_forecast,1000,5,0.0,0.0,268.0365333799273,346.31276701111346,1.0,,5.979238482728542e-07,1.7937715448185627e-07,0.0,0.0,0.0026088704000000185,0.0005065407999999994,,,
openai-gpt-4.1,family3_forecast,1000,5,0.0,0.2,6225.302308192477,8458.958149398677,0.0,487.4,0.0008327451672119773,0.00024982355016359316,0.04076919999999999,0.03125,0.00423577599999998,0.0006317023999999949,6412.654196308387,6412.654196308387,
openai-gpt-4.1-mini,family3_forecast,1000,5,0.0,0.0,6749.355275160633,8378.550383727998,0.0,500.0,0.00017896357787686846,5.3689073363060534e-05,0.008173999999999999,0.003125,0.004361651200000027,0.0005759424000000068,,,
