model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-o3-mini,family3_forecast,25,0.0,0.0,222.45809842832386,328.8219501264392,1.0,,4.970460391359578e-07,1.4911381174078733e-07,0.0,0.005,0.0031046399999999784,0.0005659910399999968,,,
openai-gpt-4.1,family3_forecast,25,0.0,0.24,5211.159640038386,8458.958149398673,0.0,484.0,0.0008148007795154134,0.000244440233854624,0.018002399999999998,0.015,0.004540590079999989,0.0006606713599999981,112578.79909656284,172104.42914047404,
openai-gpt-4.1-mini,family3_forecast,25,0.0,0.04,6154.618033384904,8129.878691374323,0.0,493.88,0.00017557207267623006,5.267162180286901e-05,0.003616288000000001,0.10875,0.005602411519999984,0.0011329564800000014,116727.56426978414,116727.56426978414,
