model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-3b-instruct,family4_codegen,450,0.27555555555555555,0.7866666666666666,5825.147104624517,7832.582158297733,0.0,228.7511111111111,1.2946495759867533e-05,3.88394872796026e-06,0.0,0.0028472222222222223,0.0018004417422222247,0.0005484928355555551,,,
ollama-mistral-7b-instruct,family4_codegen,450,0.14666666666666667,0.7555555555555555,13397.346063611154,18755.756166601685,0.0,251.28666666666666,2.9773597438136958e-05,8.932079231441085e-06,0.0,0.00010416666666666667,0.0017496496355555004,0.0005895870577777758,,,
ollama-mistral-latest,family4_codegen,450,0.14666666666666667,0.7555555555555555,13970.379576568732,19554.73921645134,0.0,251.28666666666666,3.104696769917143e-05,9.31409030975143e-06,0.0,-0.0017708333333333332,0.001715445759999936,0.0005726478222222288,,,
ollama-llama2-latest,family4_codegen,450,0.13111111111111112,0.13777777777777778,11572.587670295583,17381.67507515242,0.0,200.9911111111111,2.571872080305262e-05,7.715616240915784e-06,0.0,-0.0012152777777777778,0.0019012903822221796,0.000631396124444439,,,
ollama-qwen2.5-7b-instruct,family4_codegen,450,0.07111111111111111,0.5688888888888889,13623.34826636023,17949.91211454835,0.0,283.80444444444447,3.0275971827677408e-05,9.082791548303222e-06,0.0,0.00038194444444444446,0.0019222141155555406,0.0006176313599999992,,,
ollama-codellama-latest,family4_codegen,450,0.03111111111111111,0.11555555555555555,13769.324487042193,21317.712233452767,0.0,315.09777777777776,3.060036693603591e-05,9.180110080810773e-06,0.0,0.0011805555555555556,0.0019235089066665031,0.0006211134577777836,,,
ollama-gemma-latest,family4_codegen,450,0.02666666666666667,0.7866666666666666,10146.17120994019,13968.90570855685,0.0,86.3,2.2548892915278726e-05,6.7646678745836175e-06,0.0,-0.11114583333333333,0.0019166048711110918,0.0005976496355555582,,,
ollama-deepseek-coder-latest,family4_codegen,450,0.0,0.0,3845.6292405288937,5739.280573096038,0.0,358.1333333333333,8.547706850298423e-06,2.564312055089527e-06,0.0,0.00010416666666666667,0.0019223984355555028,0.0006167992888888958,,,
ollama-qwen-latest,family4_codegen,450,0.0,0.03333333333333333,6157.394190448685,12811.270903793773,0.0,291.1939393939394,1.3684899265462686e-05,4.1054697796388065e-06,0.0,6.944444444444444e-05,0.0018698786133334818,0.0005834632533333364,,,
ollama-llama3-latest,family4_codegen,450,0.0,0.0,14168.639702686602,19415.244707997772,0.0,320.06,3.148766588549614e-05,9.446299765648845e-06,0.0,-0.0001388888888888889,0.001844911217777844,0.0006068165688888808,,,
