model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family1_qa,20,5,0.8,1.0,6775.179283157922,7845.181882777251,0.0,433.4,0.0007559774057171092,0.00022679322171513273,0.0048784,0.009375,0.005331366400000026,0.0010277152000000012,25690.2,57445.033555565096,
openai-gpt-4.1-mini,family1_qa,20,5,0.6,0.8,7710.077700205147,8926.148999971338,0.0,456.4,0.0001669885946722566,5.009657840167698e-05,0.00101248,0.453125,0.006850022399999989,0.002863857599999997,69408.0,138816.0,
openai-o3-mini,family1_qa,20,5,0.0,0.0,631.6619749879465,1883.0350001808251,1.0,,1.4086543411160717e-06,4.2259630233482155e-07,0.0,0.01875,0.005754752000000041,0.001003020799999993,,,
openai-o3-mini,family1_qa,100,5,0.0,0.0,239.9785503745079,301.14676700904965,1.0,,5.36061041022716e-07,1.6081831230681481e-07,0.0,0.0,0.0031936256000000716,0.0005868832000000046,,,
openai-gpt-4.1,family1_qa,100,5,0.0,0.0,6344.829233177006,6712.63905800879,0.0,500.0,0.0008537546910675431,0.0002561264073202629,0.0083056,0.003125,0.004885529600000016,0.0006202367999999959,,,
openai-gpt-4.1-mini,family1_qa,100,5,0.0,0.0,9119.519258360378,11877.344183344394,0.0,500.0,0.00018451900877559875,5.535570263267962e-05,0.0016611199999999999,0.040625,0.004499264000000025,0.0005840608000000025,,,
openai-o3-mini,family1_qa,250,5,0.0,0.0,185.94171639997512,197.73073317483068,1.0,,4.1538553625391297e-07,1.2461566087617386e-07,0.0,0.0,0.002650879999999978,0.00032097920000000445,,,
openai-gpt-4.1,family1_qa,250,5,0.0,0.2,6576.576475170441,7691.694683791138,0.0,496.4,0.0008510757694730052,0.00025532273084190153,0.013725999999999999,0.021875,0.004517350400000009,0.0006066624000000021,5869453.0,5869453.0,
openai-gpt-4.1-mini,family1_qa,250,5,0.0,0.0,8121.384116820991,9340.710541815497,0.0,500.0,0.00018217945270052274,5.465383581015683e-05,0.00275096,0.01875,0.004421132799999961,0.0005536560000000024,,,
openai-o3-mini,family1_qa,500,5,0.0,0.0,239.9649081984535,318.656691419892,1.0,,5.355147524410079e-07,1.6065442573230232e-07,0.0,0.0,0.0026022655999999424,0.00047540480000000663,,,
openai-gpt-4.1,family1_qa,500,5,0.0,0.0,8469.97569182422,9667.932116589509,0.0,500.0,0.000880319669505507,0.0002640959008516521,0.0228272,0.01875,0.004223744000000007,0.00048103680000000646,,,
openai-gpt-4.1-mini,family1_qa,500,5,0.0,0.0,11617.553225182928,19958.771058428098,0.0,500.0,0.00019037283578690454,5.711185073607137e-05,0.0045654400000000005,0.03125,0.005113676800000011,0.0007348095999999915,,,
openai-o3-mini,family1_qa,1000,5,0.0,0.0,199.78856700472534,223.76073345076293,1.0,,4.4659544312161183e-07,1.3397863293648354e-07,0.0,0.0,0.0030955520000000456,0.00047447039999999884,,,
openai-gpt-4.1-mini,family1_qa,1000,5,0.0,0.0,9883.348550018854,12392.06164998468,0.0,500.0,0.00018630878287701543,5.589263486310463e-05,0.00819424,0.00625,0.004488780800000014,0.0005680671999999942,,,
openai-gpt-4.1,family1_qa,1000,5,0.0,0.0,10968.32522500772,16905.263033439405,0.0,500.0,0.0009115499332530729,0.00027346497997592187,0.0409712,0.028125,0.0040509696000000876,0.0004754016000000028,,,
