model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family1_qa,25,0.16,0.24,7826.977181667462,9890.70183339063,0.0,485.96,0.0008505354938032475,0.0002551606481409742,0.01814168,0.01625,0.004601792000000029,0.0006422105600000016,999650.6666666666,2396767.8992972323,
openai-gpt-4.1-mini,family1_qa,25,0.12,0.16,9290.37657011766,12630.393249960616,0.0,491.28,0.00018207373496245964,5.4622120488737876e-05,0.0036368480000000003,0.11,0.00507457536,0.0010608902399999976,69408.0,138816.0,
openai-o3-mini,family1_qa,25,0.0,0.0,299.46714339312166,319.69684981741005,1.0,,6.684422227910641e-07,2.0053266683731925e-07,0.0,0.00375,0.003459415040000016,0.0005721516800000015,,,
