model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family1_qa,20,5,0.2,1.0,3544.439416565001,4276.026166579686,0.0,313.8,0.0005303382300256189,0.00015910146900768564,0.0038968,0.015625,0.006091468799999955,0.0010697503999999914,400.0,473.2863826479693,
openai-o3-mini,family1_qa,20,5,0.0,0.0,188.2090416038409,207.1619914378971,1.0,,4.230239902942495e-07,1.2690719708827487e-07,0.0,0.021875,0.005375692799999987,0.0011377247999999895,,,
openai-gpt-4.1-mini,family1_qa,20,5,0.0,1.0,4633.383891405538,5317.757316539064,0.0,248.0,9.177615825432949e-05,2.7532847476298844e-05,0.00067408,0.428125,0.007364761599999992,0.002754739200000006,468.92000000000115,540.1920325217711,
openai-gpt-4.1,family1_qa,100,5,0.4,1.0,4273.064824799076,4755.819766432978,0.0,334.8,0.0005719742500957884,0.00017159227502873653,0.0069644,0.015625,0.005130265600000028,0.000672575999999997,440.0,600.0,
openai-gpt-4.1-mini,family1_qa,100,5,0.2,1.0,5923.173566837795,7957.849117252044,0.0,316.4,0.00011711756818766955,3.5135270456300864e-05,0.00136344,0.090625,0.005480819200000031,0.0007563039999999965,1597.9199999999953,2482.949217362288,
openai-o3-mini,family1_qa,100,5,0.0,0.0,196.82221680413932,219.28595821373165,1.0,,4.4012791607269064e-07,1.3203837482180718e-07,0.0,0.003125,0.0031496448000000845,0.0005897792000000068,,,
openai-gpt-4.1,family1_qa,250,5,0.2,1.0,4904.854133608751,6251.267034001648,0.0,342.4,0.0005916453694362238,0.0001774936108308671,0.012478800000000002,0.0,0.0047017215999999975,0.0008303744000000002,300.0,412.31056256176606,
openai-o3-mini,family1_qa,250,5,0.0,0.0,229.57464177161455,272.5725167663768,1.0,,5.127556309845402e-07,1.5382668929536208e-07,0.0,0.0,0.003115008000000019,0.00041266560000001174,,,
openai-gpt-4.1-mini,family1_qa,250,5,0.0,1.0,7716.3990334142,11985.741649987176,0.0,283.8,0.0001106843657190411,3.320530971571233e-05,0.0024020000000000005,0.015625,0.005152243200000029,0.0007119104000000098,1494.2799999999959,2202.884873977749,
openai-gpt-4.1,family1_qa,500,5,0.2,1.0,5231.209474778734,6232.775807962753,0.0,344.2,0.0005985127761156969,0.00017955383283470912,0.0215524,0.021875,0.004699161599999968,0.0008923359999999936,780.2400000000023,1055.6440157553131,
openai-o3-mini,family1_qa,500,5,0.0,0.0,217.88189138751477,230.91117502190173,1.0,,4.865654127976517e-07,1.4596962383929552e-07,0.0,0.003125,0.002790809599999955,0.0004558112000000003,,,
openai-gpt-4.1-mini,family1_qa,500,5,0.0,1.0,5570.423700008541,7770.2773752156645,0.0,304.4,0.00011237658214888788,3.371297464466636e-05,0.0042468,0.028125,0.004690355200000007,0.0006373760000000118,3895.6139999999987,4972.236681753995,
openai-gpt-4.1,family1_qa,1000,5,0.2,1.0,8817.857825220563,15605.282067274673,0.0,366.4,0.0006777278306773351,0.0002033183492032005,0.039854,0.0125,0.004788633599999948,0.0009504703999999975,460.19999999999857,628.9331729206208,
openai-o3-mini,family1_qa,1000,5,0.0,0.0,207.93831679038703,226.12035875208676,1.0,,4.644523919786378e-07,1.3933571759359132e-07,0.0,0.0,0.0027170303999999312,0.0005075392000000011,,,
openai-gpt-4.1-mini,family1_qa,1000,5,0.0,0.4,9664.540283591487,13944.453509058803,0.0,422.4,0.00016047535062050684,4.814260518615205e-05,0.0080604,0.003125,0.004362176000000018,0.00067094399999999,4154.099999999988,5429.094497243515,
