model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family1_qa,25,0.24,1.0,5354.285134994425,8165.3141834074595,0.0,340.32,0.0005940396912701326,0.0001782119073810398,0.01694928,0.013125,0.005082250239999979,0.0008831014399999959,476.0880000000002,672.8954189173832,
openai-gpt-4.1-mini,family1_qa,25,0.04,0.88,6701.584095051512,12096.325641777357,0.0,315.0,0.00011848600498608697,3.554580149582609e-05,0.003349344,0.113125,0.005410071040000015,0.0011062547200000029,2072.357727272724,3296.7859851190287,
openai-o3-mini,family1_qa,25,0.0,0.0,208.0852216714993,237.77794213965532,1.0,,4.6538506842555403e-07,1.396155205276662e-07,0.0,0.005625,0.0034296371199999953,0.0006207040000000019,,,
