model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-deepseek-coder-latest,family3_forecast,450,0.0,0.006666666666666667,3090.957639410885,5697.431972878984,0.0,194.6288888888889,6.869779580597028e-06,2.0609338741791084e-06,0.0,0.0003125,0.0009358131200000486,0.000405680071111109,210395.33333333334,210395.33333333334,
ollama-qwen-latest,family3_forecast,450,0.0,0.0,6677.9395806665225,10811.693195882248,0.0,185.22881355932202,1.4840986123735834e-05,4.452295837120749e-06,0.0,-0.0007291666666666667,0.0010519347200001366,0.00047421667555554376,,,
ollama-qwen2.5-3b-instruct,family3_forecast,450,0.0,0.82,7393.804947209234,10589.253473095596,0.0,197.75333333333333,1.643186728211576e-05,4.9295601846347264e-06,0.0,0.0013541666666666667,0.0011078656000000015,0.0005125920000000001,1590852.8586507996,5951328.876611384,
ollama-gemma-latest,family3_forecast,450,0.0,0.8955555555555555,11917.21795248799,19148.82748743985,0.0,64.78666666666666,2.6483744970430458e-05,7.945123491129136e-06,0.0,-0.004861111111111111,0.0009783113955555223,0.0004361705244444463,1405574.3551693405,4989385.65714562,
ollama-llama3-latest,family3_forecast,450,0.0,0.6822222222222222,12013.205169441386,19834.05639356933,0.0,122.58888888888889,2.6697116504302196e-05,8.009134951290657e-06,0.0,-0.06760416666666667,0.0010366611911111119,0.0004685506844444472,6478437.216069489,53657707.97708939,
ollama-llama2-latest,family3_forecast,450,0.0,0.02,12133.23629187834,19028.426583227698,0.0,154.09555555555556,2.6963832573235112e-05,8.089149771970533e-06,0.0,-0.0007638888888888889,0.0010299346488888814,0.0004483626666666598,1836063.5555555555,3061482.6099046026,
ollama-codellama-latest,family3_forecast,450,0.0,0.18,13778.658471282364,24888.221868686378,0.0,225.51111111111112,3.062033191473118e-05,9.186099574419353e-06,0.0,0.00010416666666666667,0.001039505635555579,0.0004464327111111125,77729720.02057612,297306318.92769307,
ollama-qwen2.5-7b-instruct,family3_forecast,450,0.0,0.9933333333333333,13913.48236640398,23468.979387357827,0.0,195.01777777777778,3.0919882426081506e-05,9.275964727824451e-06,0.0,-0.08118055555555556,0.0009681965511111261,0.00043853959111110857,1303746.1901565995,4603689.245133508,
ollama-mistral-7b-instruct,family3_forecast,450,0.0,0.9355555555555556,15548.002242019607,26631.83558708988,0.0,197.82222222222222,3.4552201862931756e-05,1.0365660558879523e-05,0.0,-0.0015277777777777779,0.0010200996977777481,0.000458894506666666,449473596.94203633,4142822544.9640827,
ollama-mistral-latest,family3_forecast,450,0.0,0.9355555555555556,15920.67321985546,26564.35577308293,0.0,197.82222222222222,3.5380376079752176e-05,1.0614112823925651e-05,0.0,-0.003993055555555555,0.001036708977777868,0.000464744959999993,449473596.94203633,4142822544.9640827,
