model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-deepseek-coder-latest,family3_forecast,450,0.0,0.006666666666666667,3293.6679804697633,5877.804141934026,0.0,220.49777777777777,7.320290694354676e-06,2.1960872083064025e-06,0.0,0.00010416666666666667,0.0009662600533333274,0.00043474488888887926,252903.02241980552,252903.02241980552,
ollama-qwen-latest,family3_forecast,450,0.0,0.0,6672.583001114221,11229.423840995876,0.0,179.27659574468086,1.4829061125794564e-05,4.44871833773837e-06,0.0,0.00010416666666666667,0.001033762133333214,0.0004631193599999871,,,
ollama-qwen2.5-3b-instruct,family3_forecast,450,0.0,0.7711111111111111,7440.279711411438,9738.851397880353,0.0,211.16222222222223,1.6535031567263513e-05,4.9605094701790535e-06,0.0,0.0013194444444444445,0.0010128750933333292,0.000453700906666666,2150354.5308758123,5765213.487762125,
ollama-gemma-latest,family3_forecast,450,0.0,0.8955555555555555,12462.855778057128,18823.083770531226,0.0,84.27333333333333,2.7696316502473336e-05,8.308894950742002e-06,0.0,-0.0005555555555555556,0.001013664426666736,0.0004594323911111115,1568183.3790105276,5937271.931367183,
ollama-llama3-latest,family3_forecast,450,0.0,0.9466666666666667,12575.993101956943,17138.814906403422,0.0,159.4177777777778,2.794773276193606e-05,8.384319828580818e-06,0.0,-0.013680555555555555,0.0010165134222222525,0.00045656177777778296,13212220941.056269,88817037791.39116,
ollama-llama2-latest,family3_forecast,450,0.0,0.02,12852.82956899661,18996.27502923831,0.0,186.60222222222222,2.856292797260764e-05,8.568878391782293e-06,0.0,-0.0016666666666666668,0.0010210554311112139,0.00045619029333334674,1939661.50382597,3277208.090718562,
ollama-codellama-latest,family3_forecast,450,0.0,0.10666666666666667,15754.020999529295,24900.551264733076,0.0,308.56666666666666,3.50100359476129e-05,1.0503010784283869e-05,0.0,6.944444444444444e-05,0.0010398697244444418,0.0004590441244444444,1024364.6375216761,2040156.2490981566,
ollama-mistral-latest,family3_forecast,450,0.0,0.9177777777777778,17416.385153815565,27141.834966605515,0.0,263.34222222222223,3.8704155179749585e-05,1.1611246553924874e-05,0.0,-0.012708333333333334,0.001012670008888937,0.00045446058666666583,43468098172.73773,434998914537.5971,
ollama-mistral-7b-instruct,family3_forecast,450,0.0,0.9177777777777778,17429.120748209665,26694.061872945163,0.0,263.34222222222223,3.8732399951365396e-05,1.1619719985409618e-05,0.0,0.0006597222222222222,0.0009592012799999792,0.00043090005333333846,43468098172.73773,434998914537.5971,
ollama-qwen2.5-7b-instruct,family3_forecast,450,0.0,0.9933333333333333,18295.11523110171,28191.613610438068,0.0,224.1888888888889,4.065694251313466e-05,1.21970827539404e-05,0.0,-0.10083333333333333,0.001060931128888887,0.0004795223466666676,1265075.2461652274,4274244.423828232,
