model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen-latest,family3_forecast,20,90,0.0,0.0,1061.8556120536393,2576.9423373974855,0.0,37.666666666666664,2.3606327653255474e-06,7.081898295976642e-07,0.0,,,
ollama-deepseek-coder-latest,family3_forecast,20,90,0.0,0.0,2122.4844055198546,3571.5448083356023,0.0,321.84444444444443,4.717676268943593e-06,1.4153028806830777e-06,0.0,,,
ollama-llama3-latest,family3_forecast,20,90,0.0,1.0,3261.2879384774715,6942.689024726859,0.0,109.44444444444444,7.2483085886166035e-06,2.1744925765849807e-06,0.0,62532730891.21813,193232346972.37677,
ollama-gemma-latest,family3_forecast,20,90,0.0,1.0,4514.436927282562,8047.716920543462,0.0,127.0,1.003311675133691e-05,3.009935025401073e-06,0.0,601878.5518715142,1482965.9654044975,
ollama-qwen2.5-3b-instruct,family3_forecast,20,90,0.0,0.28888888888888886,5940.048364373959,9204.981022165157,0.0,368.47777777777776,1.320133159795977e-05,3.960399479387931e-06,0.0,1229754.5628091875,2586166.149456495,
ollama-llama2-latest,family3_forecast,20,90,0.0,0.0,7773.551450555937,11294.387422944419,0.0,326.03333333333336,1.7275594625531715e-05,5.182678387659513e-06,0.0,,,
ollama-qwen2.5-7b-instruct,family3_forecast,20,90,0.0,1.0,7866.710133379739,11365.125515218822,0.0,232.45555555555555,1.7482576122226582e-05,5.244772836667973e-06,0.0,479407.8747533505,1441572.128048089,
ollama-codellama-latest,family3_forecast,20,90,0.0,0.4,8605.82348098461,12546.020506322382,0.0,364.96666666666664,1.9125086596078673e-05,5.737525978823601e-06,0.0,1112874.932365347,2289860.194911584,
ollama-mistral-latest,family3_forecast,20,90,0.0,0.9666666666666667,10481.951704233265,13592.639116896316,0.0,338.0,2.3294253100172688e-05,6.988275930051806e-06,0.0,736347.9423558031,1542189.6119755362,
ollama-mistral-7b-instruct,family3_forecast,20,90,0.0,0.9666666666666667,10747.630189747239,14215.494197490625,0.0,338.0,2.3884611063579396e-05,7.165383319073821e-06,0.0,736347.9423558031,1542189.6119755362,
ollama-deepseek-coder-latest,family3_forecast,100,90,0.0,0.0,2427.2971509593644,4918.157245940529,0.0,208.34444444444443,5.395037898329452e-06,1.6185113694988352e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family3_forecast,100,90,0.0,0.5666666666666667,5043.230949631996,9355.835160543209,0.0,232.15555555555557,1.1208256406660168e-05,3.36247692199805e-06,0.0,3305014.27038171,10771239.675457083,
ollama-gemma-latest,family3_forecast,100,90,0.0,1.0,5858.971561615665,12545.346058229916,0.0,83.16666666666667,1.3021063248034815e-05,3.906318974410443e-06,0.0,3180392.488916476,10010171.654463645,
ollama-llama2-latest,family3_forecast,100,90,0.0,0.0,6210.7135093098295,14653.150166617706,0.0,119.36666666666666,1.3802633335849005e-05,4.140790000754701e-06,0.0,,,
ollama-qwen-latest,family3_forecast,100,90,0.0,0.0,8898.081475465247,14412.666696496308,0.0,500.0,1.9774642286698786e-05,5.932392686009636e-06,0.0,,,
ollama-llama3-latest,family3_forecast,100,90,0.0,0.7333333333333333,9199.138240329921,14862.143329391256,0.0,292.96666666666664,2.044361429062381e-05,6.133084287187143e-06,0.0,2532946.6472076904,9192414.059654547,
ollama-codellama-latest,family3_forecast,100,90,0.0,0.03333333333333333,10316.842039364079,18718.20383120794,0.0,281.44444444444446,2.292741188085845e-05,6.8782235642575344e-06,0.0,1526116.7521156063,1526116.7521156063,
ollama-qwen2.5-7b-instruct,family3_forecast,100,90,0.0,1.0,11576.648253714666,17785.765691800043,0.0,277.6222222222222,2.572690094812077e-05,7.718070284436233e-06,0.0,1892118.2737185603,6310797.890296703,
ollama-mistral-latest,family3_forecast,100,90,0.0,0.9666666666666667,12760.375655178601,21573.37230441626,0.0,309.6777777777778,2.8357425406202892e-05,8.507227621860866e-06,0.0,3251681.224218085,10178979.393260792,
ollama-mistral-7b-instruct,family3_forecast,100,90,0.0,0.9666666666666667,13061.91963561707,22052.63914759271,0.0,309.6777777777778,2.9027487374627e-05,8.708246212388099e-06,0.0,3251681.224218085,10178979.393260792,
ollama-deepseek-coder-latest,family3_forecast,250,90,0.0,0.0,3768.1261013986336,6057.470666989684,0.0,167.13333333333333,8.374622915531354e-06,2.5123868746594066e-06,0.0,,,
ollama-qwen-latest,family3_forecast,250,90,0.0,0.0,8075.563662483667,9396.270073042251,0.0,500.0,1.7946835651515732e-05,5.38405069545472e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family3_forecast,250,90,0.0,1.0,8791.833970359423,9718.329057679512,0.0,153.1,1.9538445811906297e-05,5.861533743571892e-06,0.0,1820186.468864117,2950755.538620884,
ollama-llama2-latest,family3_forecast,250,90,0.0,0.0,16531.97278325032,19039.056962472387,0.0,153.56666666666666,3.673879402821765e-05,1.1021638208465293e-05,0.0,,,
ollama-llama3-latest,family3_forecast,250,90,0.0,1.0,16744.3600421254,17263.47031276673,0.0,129.4777777777778,3.721079458687479e-05,1.1163238376062434e-05,0.0,566450.3434094551,657066.7872076104,
ollama-gemma-latest,family3_forecast,250,90,0.0,0.8222222222222222,17276.13393929787,19559.056753502227,0.0,69.12222222222222,3.839247544924748e-05,1.151774263477424e-05,0.0,543373.8080719826,641836.0169773814,
ollama-codellama-latest,family3_forecast,250,90,0.0,0.022222222222222223,20178.02651245147,25031.24872255139,0.0,310.93333333333334,4.4841125500093214e-05,1.3452337650027966e-05,0.0,1166729.7137585317,1166729.7137585317,
