model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen-latest,family1_qa,20,90,0.0,0.0,793.9903407461113,1845.1503402553499,0.0,12.833333333333334,1.765776431344093e-06,5.297329294032279e-07,0.0,,,
ollama-llama3-latest,family1_qa,20,90,0.0,0.4666666666666667,2572.5252810943252,4171.243655856233,0.0,71.0,5.718575997945061e-06,1.715572799383518e-06,0.0,226916.2678571428,273627.8670802976,
ollama-deepseek-coder-latest,family1_qa,20,90,0.0,0.0,3394.173631985258,3875.4103731247596,0.0,491.94444444444446,7.543902302104806e-06,2.263170690631442e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family1_qa,20,90,0.0,1.0,3461.049233837467,5532.313643896487,0.0,211.15555555555557,7.692676070143225e-06,2.3078028210429676e-06,0.0,138480.881,194352.36946280507,
ollama-gemma-latest,family1_qa,20,90,0.0,1.0,3714.1581713144355,5709.324821108021,0.0,92.02222222222223,8.255964881298393e-06,2.476789464389518e-06,0.0,24150.56556666666,72502.14174430806,
ollama-qwen2.5-7b-instruct,family1_qa,20,90,0.0,1.0,5070.677165296446,7897.479784837924,0.0,140.73333333333332,1.126958562835542e-05,3.3808756885066257e-06,0.0,28097.755666666668,85349.63009773561,
ollama-llama2-latest,family1_qa,20,90,0.0,0.0,5865.341157427368,10668.262241978664,0.0,214.5,1.303677446341884e-05,3.911032339025653e-06,0.0,,,
ollama-codellama-latest,family1_qa,20,90,0.0,0.0,6472.482180561767,10267.956162581686,0.0,245.6,1.4385297112698107e-05,4.315589133809432e-06,0.0,,,
ollama-mistral-7b-instruct,family1_qa,20,90,0.0,1.0,8370.353351401476,11891.270081012042,0.0,257.76666666666665,1.860225144854649e-05,5.580675434563946e-06,0.0,5531.733307189546,8152.937739601952,
ollama-mistral-latest,family1_qa,20,90,0.0,1.0,8393.16572276358,11869.291766546665,0.0,257.76666666666665,1.865329193965804e-05,5.595987581897414e-06,0.0,5531.733307189546,8152.937739601952,
ollama-qwen2.5-3b-instruct,family1_qa,100,90,0.0,1.0,4096.447808401555,7303.986093727872,0.0,177.3111111111111,9.104454748419682e-06,2.7313364245259045e-06,0.0,170735.90555555557,240438.92097334482,
ollama-llama3-latest,family1_qa,100,90,0.0,1.0,4329.455979683229,8830.52808942739,0.0,81.76666666666667,9.6223384681779e-06,2.886701540453369e-06,0.0,254854.13888888885,296292.8923931034,
