model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-deepseek-coder-latest,family1_qa,450,0.0,0.0,4181.338349813078,6593.583048402797,0.0,300.22,9.293116460082679e-06,2.7879349380248036e-06,0.0,-0.03225694444444444,0.0011691895466667212,0.0005382269155555659,,,
ollama-qwen2.5-3b-instruct,family1_qa,450,0.0,1.0,6883.100516304581,9399.474074773025,0.0,167.7288888888889,1.5297140641955153e-05,4.589142192586546e-06,0.0,-0.2057986111111111,0.0012245725866666854,0.0006303065600000009,501041.01129554654,1538477.7166180413,
ollama-qwen-latest,family1_qa,450,0.0,0.0,7570.934515782736,14994.827483175319,0.0,225.1377245508982,1.6825889642787738e-05,5.047766892836321e-06,0.0,-0.19041666666666668,0.0012839594666667943,0.0008828575288888906,,,
ollama-llama3-latest,family1_qa,450,0.0,0.8466666666666667,11568.070071686783,18571.61941223312,0.0,106.85777777777778,2.5708586873964985e-05,7.712576062189495e-06,0.0,-0.4309375,0.0012645922133333128,0.0011389326222222263,233504.70485564307,276136.53213625523,
ollama-gemma-latest,family1_qa,450,0.0,0.94,12268.557001869194,18388.95085867261,0.0,71.54666666666667,2.7265956145529428e-05,8.179786843658826e-06,0.0,-0.9304166666666667,0.0012784435199999836,0.002121705813333311,156187.57481907093,221282.37826921805,
ollama-llama2-latest,family1_qa,450,0.0,0.04,13497.143022045493,20214.915027224924,0.0,176.5688888888889,2.9996168183728607e-05,8.998850455118583e-06,0.0,-0.7621180555555556,0.0013663800888884085,0.002062214257777786,260318.58888888886,305335.3684711324,
ollama-qwen2.5-7b-instruct,family1_qa,450,0.0,0.98,14737.765124985017,24206.66599819668,0.0,170.51555555555555,3.2752683953360704e-05,9.825805186008214e-06,0.0,-0.5344791666666666,0.0013070654577777556,0.0015463737599999982,337473.04133786843,1047506.639861742,
ollama-mistral-7b-instruct,family1_qa,450,0.0,0.9666666666666667,15227.211390561424,24615.604687912833,0.0,185.32888888888888,3.3839866756275476e-05,1.0151960026882641e-05,0.0,-0.31461805555555555,0.0012393380977777982,0.0009663044266666704,220336798.95879832,1281847275.6088612,
ollama-mistral-latest,family1_qa,450,0.0,0.9666666666666667,15350.52128616617,24586.979002680157,0.0,185.32888888888888,3.411455903835163e-05,1.023436771150549e-05,0.0,-0.6951041666666666,0.0012988916622222904,0.00181979704888888,220336798.95879832,1281847275.6088612,
ollama-codellama-latest,family1_qa,450,0.0,0.12444444444444444,15481.742258132952,25972.89338154951,0.0,276.1311111111111,3.4406249286207266e-05,1.0321874785862182e-05,0.0,-0.7624652777777777,0.001363203413333254,0.001875475342222271,38554.12857142858,88872.97450644293,
