model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family2_anomaly,20,30,0.8666666666666667,1.0,3705.91386531014,4504.38009215286,0.0,241.46666666666667,0.0004203183257225566,0.00012609549771676698,0.003514933333333333,0.0005208333333333333,0.005347259733333291,0.0006341173333333395,,,0.4642857142857143
openai-gpt-4.1-mini,family2_anomaly,20,30,0.26666666666666666,1.0,2683.456761172662,3356.8216856219797,0.0,181.4,6.547593383639617e-05,1.9642780150918848e-05,0.0006068800000000002,0.07760416666666667,0.005568170666666697,0.0010599079999999996,,,0.2105263157894737
openai-o3-mini,family2_anomaly,20,30,0.0,0.0,226.04652085962394,360.1401793595865,1.0,,5.053363471166246e-07,1.5160090413498733e-07,0.0,0.0010416666666666667,0.003387596799999907,0.0007135263999999956,,,0.0
openai-gpt-4.1,family2_anomaly,100,30,0.8333333333333334,1.0,3770.289554198583,5213.454437616747,0.0,239.33333333333334,0.00041782071919160466,0.00012534621575748135,0.007972533333333334,0.0,0.004574668799999918,0.0005935295999999997,,,0.45454545454545453
openai-o3-mini,family2_anomaly,100,30,0.0,0.0,206.58225683728233,278.4488123666961,1.0,,4.6141823360665914e-07,1.3842547008199772e-07,0.0,0.0,0.002763912533333309,0.0004324714666666655,,,0.0
openai-gpt-4.1-mini,family2_anomaly,100,30,0.0,1.0,3061.35730833048,4161.22706841561,0.0,196.5,7.128850646072382e-05,2.1386551938217144e-05,0.0015259733333333335,0.008333333333333333,0.00530088106666664,0.0005934693333333342,,,0.0
openai-gpt-4.1,family2_anomaly,250,30,0.7333333333333333,1.0,4133.422306917298,6044.031887484015,0.0,238.7,0.00042137958078551673,0.000126413874235655,0.016417333333333332,0.003125,0.004343688533333326,0.0004626613333333344,,,0.423076923076923
openai-gpt-4.1-mini,family2_anomaly,250,30,0.03333333333333333,1.0,3874.04557778112,4509.4837894430375,0.0,215.93333333333334,7.953437019959667e-05,2.3860311059879008e-05,0.00324704,0.0026041666666666665,0.004861516799999998,0.0005294560000000004,,,0.03225806451612903
openai-o3-mini,family2_anomaly,250,30,0.0,0.0,201.8006901916427,279.77206233772444,1.0,,4.508583124258728e-07,1.3525749372776186e-07,0.0,0.0,0.002730052266666879,0.0005559381333333224,,,0.0
openai-gpt-4.1,family2_anomaly,500,30,0.6333333333333333,1.0,5401.475994393695,10391.513647779351,0.0,242.33333333333334,0.00044285794442899026,0.00013285738332869708,0.030484466666666665,0.0,0.004289092266666472,0.0005990922666666694,,,0.3877551020408163
openai-gpt-4.1-mini,family2_anomaly,500,30,0.06666666666666667,1.0,4291.709972370882,5639.810012787348,0.0,226.06666666666666,8.381995125126652e-05,2.514598537537996e-05,0.006070866666666668,0.0020833333333333333,0.004765115733333328,0.0005520058666666651,,,0.0625
openai-o3-mini,family2_anomaly,500,30,0.0,0.0,223.10746685058498,278.0698376882355,1.0,,4.979468913928345e-07,1.4938406741785031e-07,0.0,0.0,0.0025021781333334067,0.0004299039999999884,,,0.0
openai-gpt-4.1,family2_anomaly,1000,30,0.8333333333333334,1.0,7031.462186089872,15716.475531191096,0.0,243.5,0.0004645090344124595,0.00013935271032373788,0.058354600000000006,0.0,0.004167441066666614,0.0004583637333333316,,,0.45454545454545453
openai-gpt-4.1-mini,family2_anomaly,1000,30,0.03333333333333333,1.0,5413.355936168227,9585.54475639829,0.0,215.96666666666667,8.315307527261308e-05,2.4945922581783914e-05,0.01162686666666667,0.0005208333333333333,0.004613683200000078,0.0004499706666666649,,,0.03225806451612903
openai-o3-mini,family2_anomaly,1000,30,0.0,0.0,225.6719735528653,300.1886046666186,1.0,,5.034564334825577e-07,1.510369300447673e-07,0.0,0.0,0.0022809258666665498,0.00039321493333333566,,,0.0
