model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family2_anomaly,150,0.78,1.0,4808.512781381917,9200.118990993355,0.0,241.06666666666666,0.0004333771209082255,0.00013001313627246765,0.02334877333333333,0.0007291666666666667,0.0045444300799999246,0.0005495528533333349,,,0.43820224719101125
openai-gpt-4.1-mini,family2_anomaly,150,0.08,1.0,3864.785111164674,5977.917492063716,0.0,207.17333333333335,7.665436740411927e-05,2.2996310221235776e-05,0.004615525333333334,0.018229166666666668,0.005021873493333349,0.0006369619733333329,,,0.07407407407407407
openai-o3-mini,family2_anomaly,150,0.0,0.0,216.64178165839985,289.9899587209802,1.0,,4.838032436049097e-07,1.4514097308147292e-07,0.0,0.00020833333333333335,0.0027329331200000103,0.0005050109866666615,,,0.0
