model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-llama3-latest,family2_anomaly,450,0.9866666666666667,1.0,11910.989066264076,16626.98746258393,0.0,148.68,2.6469972974608705e-05,7.940991892382611e-06,0.0,-0.011215277777777777,0.0010313773511112128,0.00047841991111110486,,,0.4966442953020134
ollama-qwen2.5-7b-instruct,family2_anomaly,450,0.9733333333333334,0.9866666666666667,18234.019058970734,23708.16698966082,0.0,213.04222222222222,4.052175396444572e-05,1.2156526189333716e-05,0.0,-0.255625,0.0011912510577777545,0.0011402409244444477,,,0.24662162162162163
ollama-gemma-latest,family2_anomaly,450,0.8377777777777777,1.0,16379.143200565337,21241.691535292193,0.0,135.42444444444445,3.639926061915542e-05,1.0919778185746627e-05,0.0,-0.01659722222222222,0.0010895678577778117,0.0004968305777777844,,,0.30390971382507054
ollama-qwen2.5-3b-instruct,family2_anomaly,450,0.8155555555555556,0.9866666666666667,8291.501744439205,10419.699816801583,0.0,200.54666666666665,1.8427415620314283e-05,5.528224686094285e-06,0.0,-1.2062152777777777,0.0012799982933333798,0.0012484310755555548,,,0.17968176254589963
ollama-codellama-latest,family2_anomaly,450,0.4288888888888889,0.8,16439.33984771992,25078.440089337528,0.0,252.8177777777778,3.653303059326261e-05,1.0959909177978783e-05,0.0,3.472222222222222e-05,0.0011033804800001533,0.00048253724444445546,,,0.12006220839813375
ollama-mistral-latest,family2_anomaly,450,0.2577777777777778,0.8533333333333334,17897.908770596194,27521.081168157976,0.0,244.57333333333332,3.977414869181094e-05,1.1932244607543281e-05,0.0,6.944444444444444e-05,0.0009603299555556236,0.00042647438222221523,,,0.027326266195524147
ollama-mistral-7b-instruct,family2_anomaly,450,0.2577777777777778,0.8533333333333334,19666.738989883,31046.284297900274,0.0,244.57333333333332,4.370503090377385e-05,1.3111509271132157e-05,0.0,0.0004166666666666667,0.0010835353600000275,0.0005054020266666636,,,0.027326266195524147
ollama-llama2-latest,family2_anomaly,450,0.05333333333333334,0.06,16104.752720357435,21770.15571887605,0.0,272.52444444444444,3.5789369362098015e-05,1.0736810808629401e-05,0.0,-0.0009722222222222222,0.0009781885155556974,0.00042481607111111055,,,0.03375527426160338
ollama-deepseek-coder-latest,family2_anomaly,450,0.0,0.0,3657.0983277592395,6033.661550050601,0.0,213.67111111111112,8.127945101292137e-06,2.438383530387641e-06,0.0,0.0,0.0009849059555556987,0.000458888533333319,,,0.0
ollama-qwen-latest,family2_anomaly,450,0.0,0.013333333333333334,7025.787250584819,14382.145633082837,0.0,168.49019607843138,1.5613887475345455e-05,4.684166242603636e-06,0.0,0.00010416666666666667,0.0009686584888891048,0.0004301710222222146,,,0.0
