model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-mistral-latest,family2_anomaly,20,90,1.0,1.0,4430.007694925492,6979.818868287839,0.0,122.43333333333334,9.845417646204797e-06,2.953625293861439e-06,0.0,,,1.0
ollama-llama3-latest,family2_anomaly,20,90,1.0,1.0,4630.840571695525,6387.819193699397,0.0,156.86666666666667,1.0292007307485645e-05,3.0876021922456936e-06,0.0,,,1.0
ollama-mistral-7b-instruct,family2_anomaly,20,90,1.0,1.0,5413.878465242063,8698.478041333146,0.0,122.43333333333334,1.2031884871867722e-05,3.6095654615603166e-06,0.0,,,1.0
ollama-gemma-latest,family2_anomaly,20,90,1.0,1.0,5921.7576930454625,9337.750310217962,0.0,157.2,1.3160507972665402e-05,3.94815239179962e-06,0.0,,,1.0
ollama-qwen2.5-3b-instruct,family2_anomaly,20,90,0.9666666666666667,1.0,4030.721239792183,6668.9728607190755,0.0,228.96666666666667,8.958565030550529e-06,2.687569509165159e-06,0.0,,,0.4915254237288135
ollama-qwen2.5-7b-instruct,family2_anomaly,20,90,0.9666666666666667,1.0,6520.264264770473,10297.825314640068,0.0,181.34444444444443,1.4491288689754489e-05,4.3473866069263466e-06,0.0,,,0.4915254237288135
ollama-llama2-latest,family2_anomaly,20,90,0.26666666666666666,0.3,7574.342530096571,11886.292524822056,0.0,304.1,1.6832873790225187e-05,5.049862137067555e-06,0.0,,,0.14035087719298248
ollama-deepseek-coder-latest,family2_anomaly,20,90,0.0,0.0,1327.2713707966936,2546.324385260232,0.0,168.74444444444444,2.950598198299531e-06,8.851794594898591e-07,0.0,,,0.0
ollama-qwen-latest,family2_anomaly,20,90,0.0,0.06666666666666667,2451.4321764310203,5044.69727515243,0.0,126.36666666666666,5.448561575109498e-06,1.6345684725328495e-06,0.0,,,0.0
ollama-codellama-latest,family2_anomaly,20,90,0.0,0.0,4942.296573504184,8035.086712404154,0.0,169.83333333333334,1.0984126213910536e-05,3.2952378641731606e-06,0.0,,,0.0
ollama-qwen2.5-7b-instruct,family2_anomaly,100,90,1.0,1.0,20817.02364436868,22751.398006547242,0.0,227.3,4.626324307013852e-05,1.3878972921041554e-05,0.0,,,1.0
ollama-llama3-latest,family2_anomaly,100,90,0.9333333333333333,1.0,7077.98287174147,14323.265981208533,0.0,164.3,1.5729921094226192e-05,4.718976328267859e-06,0.0,,,0.4827586206896552
ollama-qwen2.5-3b-instruct,family2_anomaly,100,90,0.8666666666666667,0.9333333333333333,9397.309335667847,10539.797865319997,0.0,203.17777777777778,2.0884463989286573e-05,6.2653391967859715e-06,0.0,,,0.30952380952380953
ollama-gemma-latest,family2_anomaly,100,90,0.8333333333333334,1.0,18934.960278289185,21070.82852309104,0.0,144.67777777777778,4.2078820404804895e-05,1.2623646121441468e-05,0.0,,,0.45454545454545453
ollama-codellama-latest,family2_anomaly,100,90,0.26666666666666666,1.0,22424.69743656305,25885.1981919026,0.0,350.5,4.9833897446189495e-05,1.4950169233856848e-05,0.0,,,0.2105263157894737
ollama-mistral-latest,family2_anomaly,100,90,0.2,0.6444444444444445,22426.849391223448,27395.736370864324,0.0,327.0444444444444,4.983842310323377e-05,1.4951526930970131e-05,0.0,,,0.04761904761904762
ollama-mistral-7b-instruct,family2_anomaly,100,90,0.2,0.6444444444444445,24252.747090740337,30758.583848481063,0.0,327.0444444444444,5.389612176273161e-05,1.6168836528819483e-05,0.0,,,0.04761904761904762
ollama-deepseek-coder-latest,family2_anomaly,100,90,0.0,0.0,4483.165801776987,6387.307803914882,0.0,245.04444444444445,9.963661622629636e-06,2.989098486788891e-06,0.0,,,0.0
ollama-qwen-latest,family2_anomaly,100,90,0.0,0.0,7969.221352744434,14467.097006179392,0.0,216.0,1.7710394256553767e-05,5.31311827696613e-06,0.0,,,0.0
ollama-llama2-latest,family2_anomaly,100,90,0.0,0.0,18085.205561051975,22122.99231654033,0.0,257.72222222222223,4.019034315797793e-05,1.2057102947393377e-05,0.0,,,0.0
ollama-llama3-latest,family2_anomaly,250,90,1.0,1.0,16265.506185611917,17354.829095932655,0.0,148.06666666666666,3.6146627367194025e-05,1.0843988210158209e-05,0.0,,,1.0
ollama-qwen2.5-7b-instruct,family2_anomaly,250,90,0.9,0.9333333333333333,20925.986730043467,22386.324056237936,0.0,235.4,4.650339226116184e-05,1.3951017678348552e-05,0.0,,,0.31578947368421056
ollama-gemma-latest,family2_anomaly,250,90,0.8888888888888888,1.0,18735.3996323939,20327.48573536519,0.0,137.3111111111111,4.1635373416437945e-05,1.2490612024931385e-05,0.0,,,0.47058823529411764
