model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-3b-instruct,family4_codegen,450,0.5488888888888889,0.6311111111111111,10498.607887509666,52245.86640410852,0.0,359.61555555555555,2.333197924441196e-05,6.999593773323588e-06,0.0,0.0022222222222222222,0.0017448667022222164,0.000624606737777778,,,
ollama-codellama-latest,family4_codegen,450,0.18888888888888888,0.19111111111111112,27871.29776701557,74321.35895204992,0.0,352.82,6.193800885208258e-05,1.8581402655624775e-05,0.0,0.0001388888888888889,0.0017602969599999736,0.0006801419377777663,,,
ollama-qwen2.5-7b-instruct,family4_codegen,450,0.17333333333333334,0.2733333333333333,23837.598143078314,100748.23982964589,0.0,473.4222222222222,5.297425810892322e-05,1.5892277432676966e-05,0.0,-0.11315972222222222,0.0018160298666666424,0.0006600962133333312,,,
ollama-gemma-latest,family4_codegen,450,0.1,0.24,18659.27749705792,29622.101958448184,0.0,125.32888888888888,4.146721007856398e-05,1.2440163023569194e-05,0.0,-0.09305555555555556,0.0021474781866667393,0.000779772871111122,,,
ollama-llama2-latest,family4_codegen,450,0.07333333333333333,0.09111111111111111,11579.345567869475,16696.94776232354,0.0,198.95333333333335,2.57336098388916e-05,7.720082951667481e-06,0.0,0.0016319444444444445,0.001702670791111179,0.0006549583644444488,,,
ollama-deepseek-coder-latest,family4_codegen,450,0.0,0.0,7212.812437039295,17224.300842008954,0.0,294.73555555555555,1.6030315110491557e-05,4.809094533147466e-06,0.0,0.0007291666666666667,0.0018609584355552993,0.0006495448177777756,,,
ollama-qwen-latest,family4_codegen,450,0.0,0.013333333333333334,16194.081647428942,92028.9215538156,0.0,313.8888888888889,3.598874107290383e-05,1.0796622321871147e-05,0.0,-0.0029861111111111113,0.001899952355555633,0.000678576355555551,,,
ollama-llama3-latest,family4_codegen,450,0.0,0.035555555555555556,20509.14892983151,35511.372135617414,0.0,345.9533333333333,4.557784273182452e-05,1.3673352819547354e-05,0.0,-0.007152777777777778,0.0019531776000001203,0.0007115127466666626,,,
ollama-mistral-7b-instruct,family4_codegen,450,0.0,0.7888888888888889,23171.221479262134,125411.1643643962,0.0,349.31333333333333,5.1493563324909855e-05,1.5448068997472956e-05,0.0,0.0009027777777777777,0.001983239964444401,0.0006866491733333342,,,
ollama-mistral-latest,family4_codegen,450,0.0,0.7733333333333333,34521.77967741316,148695.46820623506,0.017777777777777778,349.3529411764706,7.671737887960737e-05,2.3015213663882206e-05,0.0,-0.01565972222222222,0.0023198333155555733,0.0008307521422222239,,,
