model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-7b-instruct,family2_anomaly,20,90,0.7333333333333333,1.0,5247.108482812635,8013.293876755051,0.0,148.38888888888889,1.1661223351788218e-05,3.4983670055364652e-06,0.0,,,0.1692307692307692
ollama-llama3-latest,family2_anomaly,20,90,0.2,1.0,4142.211727332324,6396.041943505406,0.0,149.04444444444445,9.20586667106654e-06,2.7617600013199625e-06,0.0,,,0.11111111111111112
ollama-mistral-7b-instruct,family2_anomaly,20,90,0.06666666666666667,1.0,4838.21836437823,8012.425824999809,0.0,132.66666666666666,1.0752637656741746e-05,3.2257912970225236e-06,0.0,,,0.0625
ollama-mistral-latest,family2_anomaly,20,90,0.06666666666666667,1.0,4922.594736992485,8145.901841809972,0.0,132.66666666666666,1.094009992268524e-05,3.282029976805572e-06,0.0,,,0.0625
ollama-deepseek-coder-latest,family2_anomaly,20,90,0.0,0.03333333333333333,1201.1786851255845,2078.676060284488,0.0,156.56666666666666,2.670261102663556e-06,8.01078330799067e-07,0.0,,,0.0
ollama-qwen-latest,family2_anomaly,20,90,0.0,0.1,1668.5751269261043,4839.722316060215,0.0,62.51111111111111,3.7089964609645353e-06,1.1126989382893606e-06,0.0,,,0.0
ollama-qwen2.5-3b-instruct,family2_anomaly,20,90,0.0,0.7111111111111111,4909.4770370879105,8927.745051868256,0.0,288.02222222222224,1.0911161461306467e-05,3.2733484383919397e-06,0.0,,,0.0
ollama-codellama-latest,family2_anomaly,20,90,0.0,0.0,5034.041245747358,7748.033147840761,0.0,181.0,1.1187771208736632e-05,3.3563313626209895e-06,0.0,,,0.0
ollama-gemma-latest,family2_anomaly,20,90,0.0,1.0,5913.016132901733,9549.605212523602,0.0,162.76666666666668,1.3141079432042653e-05,3.942323829612796e-06,0.0,,,0.0
ollama-llama2-latest,family2_anomaly,20,90,0.0,0.2,14905.807354182212,29792.079748166725,0.0,335.06666666666666,3.3125861914634194e-05,9.937758574390258e-06,0.0,,,0.0
