model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-7b-instruct,family2_anomaly,450,0.14666666666666667,1.0,14387.198268519714,18877.70988570992,0.0,133.86,3.197256249405086e-05,9.591768748215259e-06,0.0,-0.058333333333333334,0.0009430914844443963,0.0004337632711111113,,,0.02558139534883721
ollama-llama3-latest,family2_anomaly,450,0.04666666666666667,1.0,12089.545046779223,16798.81841489114,0.0,150.50222222222223,2.6866680631499505e-05,8.060004189449852e-06,0.0,-0.03944444444444444,0.0009616634311111562,0.0004345146311111102,,,0.0178343949044586
ollama-mistral-7b-instruct,family2_anomaly,450,0.013333333333333334,0.9666666666666667,16634.423591852603,24748.156856000423,0.0,191.77333333333334,3.696643625688585e-05,1.1089930877065755e-05,0.0,-0.04729166666666667,0.0009617999644444453,0.00046914759111111524,,,0.003289473684210526
ollama-mistral-latest,family2_anomaly,450,0.013333333333333334,0.9666666666666667,17058.64417183213,25398.248119093474,0.0,191.77333333333334,3.7909200078983565e-05,1.1372760023695069e-05,0.0,-0.13336805555555556,0.0010016540444444959,0.0004993388088888902,,,0.003289473684210526
ollama-deepseek-coder-latest,family2_anomaly,450,0.0,0.006666666666666667,3821.585605354566,6098.846227140166,0.0,250.48444444444445,8.493440320780869e-06,2.548032096234261e-06,0.0,-0.0325,0.0009514643911109822,0.0004486536533333332,,,0.0
ollama-qwen-latest,family2_anomaly,450,0.0,0.02,6463.490720869352,10270.897548319772,0.0,85.39795918367346,1.4364454155864876e-05,4.309336246759462e-06,0.0,-0.004826388888888889,0.0010597626311110275,0.0004950675911110923,,,0.0
ollama-qwen2.5-3b-instruct,family2_anomaly,450,0.0,0.9422222222222222,7482.384523246437,9166.694956086574,0.0,173.17555555555555,1.662859264095399e-05,4.988577792286196e-06,0.0,-0.39125,0.0010121318399999967,0.0004473952,,,0.0
ollama-gemma-latest,family2_anomaly,450,0.0,1.0,14878.38875018681,19330.232199677266,0.0,87.22666666666667,3.3064185791723776e-05,9.919255737517132e-06,0.0,-0.06333333333333334,0.0010004662044444106,0.0004974765511111142,,,0.0
ollama-codellama-latest,family2_anomaly,450,0.0,0.7933333333333333,18559.725052858186,25682.98740151804,0.0,321.38444444444445,4.124505624673812e-05,1.2373516874021436e-05,0.0,-0.24430555555555555,0.0011027160177778071,0.0005629303466666717,,,0.0
ollama-llama2-latest,family2_anomaly,450,0.0,0.1,19164.714457119506,26916.735599492673,0.0,244.54,4.2589703994902604e-05,1.277691119847078e-05,0.0,-0.06201388888888889,0.0013180108799999523,0.0006566417066666671,,,0.0
