model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-mistral-7b-instruct,family2_anomaly,450,0.34444444444444444,0.8466666666666667,17719.364662764387,28182.033343496732,0.0,216.43555555555557,3.9377419673391056e-05,1.1813225902017318e-05,0.0,-0.23777777777777778,0.0009886082844444467,0.00044677845333333235,,,0.04269972451790633
ollama-mistral-latest,family2_anomaly,450,0.34444444444444444,0.8466666666666667,19220.065262344564,30912.995575065725,0.0,216.43555555555557,4.2712424976556875e-05,1.2813727492967063e-05,0.0,-0.11885416666666666,0.0010782856533333846,0.0005138612622222283,,,0.04269972451790633
ollama-llama3-latest,family2_anomaly,450,0.14666666666666667,1.0,13298.483057660567,19423.578426567838,0.0,145.11111111111111,2.955337845354976e-05,8.866013536064928e-06,0.0,-0.18878472222222223,0.0011123188622221866,0.000513940622222223,,,0.12790697674418605
ollama-qwen2.5-3b-instruct,family2_anomaly,450,0.006666666666666667,0.98,7627.206699094839,10070.782935270106,0.0,203.85555555555555,1.6950366980847087e-05,5.0851100942541245e-06,0.0,0.0009027777777777777,0.0009503010133333214,0.0004374161777777784,,,0.0026490066225165567
ollama-deepseek-coder-latest,family2_anomaly,450,0.0,0.0,3845.6752559232214,6324.800947564654,0.0,232.5288888888889,8.547032330479117e-06,2.564109699143735e-06,0.0,-0.004340277777777778,0.0010101828266664528,0.00047091967999999954,,,0.0
ollama-qwen-latest,family2_anomaly,450,0.0,0.006666666666666667,7599.703420250573,14758.005637233144,0.0,150.3202614379085,1.6889397604276052e-05,5.066819281282815e-06,0.0,-0.035208333333333335,0.0010679546311112157,0.0005227531377777753,,,0.0
ollama-qwen2.5-7b-instruct,family2_anomaly,450,0.0,0.98,16684.48079640977,21400.822906242684,0.0,217.61555555555555,3.7077663715200554e-05,1.1123299114560164e-05,0.0,0.00017361111111111112,0.0009681396622222336,0.0004481319111111124,,,0.0
ollama-llama2-latest,family2_anomaly,450,0.0,0.057777777777777775,16844.1114808588,22861.898641125295,0.0,270.88444444444445,3.743251160295253e-05,1.122975348088576e-05,0.0,-0.1153125,0.0010769021155554981,0.0004933393066666881,,,0.0
ollama-codellama-latest,family2_anomaly,450,0.0,0.8,17305.963381215308,23981.79515809752,0.0,283.96666666666664,3.8458838640911616e-05,1.1537651592273488e-05,0.0,-0.035173611111111114,0.0010703303111110074,0.00048558335999999356,,,0.0
ollama-gemma-latest,family2_anomaly,450,0.0,1.0,17611.70323417108,22841.44300259649,0.0,148.2888888888889,3.913835154838159e-05,1.1741505464514477e-05,0.0,-0.14149305555555555,0.0011310830933333607,0.0005488036977777838,,,0.0
