model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-o3-mini,family4_codegen,20,5,0.0,0.0,216.5828663855791,255.86842459160835,1.0,,4.850738231425567e-07,1.4552214694276702e-07,0.0,0.021875,0.004407270399999996,0.0007397472000000016,,,
openai-gpt-4.1,family4_codegen,20,5,0.0,0.0,5343.8055749749765,7334.208691609092,0.0,500.0,0.0008412425196075768,0.000252372755882273,0.005248,0.0125,0.005271846400000002,0.000842083199999999,,,
openai-gpt-4.1-mini,family4_codegen,20,5,0.0,0.0,6706.309916381724,7535.305499564856,0.0,500.0,0.0001788613895757886,5.3658416872736574e-05,0.0010496,0.4375,0.0076445311999999935,0.003268457600000008,,,
openai-gpt-4.1-mini,family4_codegen,100,5,0.6,0.6,5177.837116620503,6409.906883421354,0.0,374.4,0.00013429761230561893,4.028928369168568e-05,0.00142832,0.05625,0.004368998400000046,0.0007243296000000066,,,
openai-o3-mini,family4_codegen,100,5,0.0,0.0,220.08564139250666,278.9813163690269,1.0,,4.913441880468402e-07,1.4740325641405206e-07,0.0,0.0,0.0028059904000000023,0.0002792864000000006,,,
openai-gpt-4.1,family4_codegen,100,5,0.0,0.0,5236.420224793255,6344.201933359727,0.0,500.0,0.0008398972291925294,0.00025196916875775885,0.008146400000000002,0.00625,0.005422003200000036,0.0005114304000000014,,,
openai-gpt-4.1-mini,family4_codegen,250,5,1.0,1.0,5244.670833204873,6448.6858246149495,0.0,342.2,0.00012394762250664748,3.7184286751994235e-05,0.0024652,0.021875,0.004277772800000012,0.000560208000000001,,,
openai-o3-mini,family4_codegen,250,5,0.0,0.0,228.513683215715,270.8963414421305,1.0,,5.105045053047635e-07,1.5315135159142905e-07,0.0,0.0,0.0032803840000000138,0.00039244160000000415,,,
openai-gpt-4.1,family4_codegen,250,5,0.0,0.0,5519.606683216989,6400.83858363796,0.0,500.0,0.0008434348616953777,0.0002530304585086133,0.0135884,0.003125,0.005368268799999987,0.0004633823999999953,,,
openai-gpt-4.1-mini,family4_codegen,500,5,1.0,1.0,9903.48385842517,17583.262741868384,0.0,342.0,0.00013480090376958112,4.0440271130874336e-05,0.00427784,0.025,0.004229247999999996,0.0005641632000000007,,,
openai-o3-mini,family4_codegen,500,5,0.0,0.0,238.00790838431567,289.35426715761423,1.0,,5.315263802191142e-07,1.5945791406573426e-07,0.0,0.003125,0.0031130623999999774,0.0004556895999999977,,,
openai-gpt-4.1,family4_codegen,500,5,0.0,0.0,5254.433425166644,6641.986308363266,0.0,500.0,0.0008401212733554258,0.0002520363820066278,0.0226532,0.01875,0.005114112000000048,0.0004506015999999946,,,
openai-gpt-4.1-mini,family4_codegen,1000,5,1.0,1.0,6231.931283394806,7664.838833129033,0.0,360.4,0.00013219999523171865,3.9659998569515597e-05,0.00793488,0.00625,0.004237286400000007,0.0005242847999999967,,,
openai-o3-mini,family4_codegen,1000,5,0.0,0.0,288.4665667777881,372.36349983140826,1.0,,6.434617739188942e-07,1.9303853217566826e-07,0.0,0.0,0.0028545279999999894,0.0004486591999999956,,,
openai-gpt-4.1,family4_codegen,1000,5,0.0,0.0,7111.119333188981,8128.666116669774,0.0,500.0,0.0008633292407526008,0.00025899877222578026,0.04079120000000001,0.01875,0.005131622399999936,0.0005132832000000088,,,
