model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1-mini,family4_codegen,25,0.72,0.72,6652.846601605415,13318.001292226818,0.0,383.8,0.00014082150467787093,4.224645140336129e-05,0.003431168,0.109375,0.004951567360000011,0.0011282886400000025,,,
openai-o3-mini,family4_codegen,25,0.0,0.0,238.3313332311809,298.3943753875792,1.0,,5.323821341264338e-07,1.597146402379301e-07,0.0,0.005,0.003292247039999996,0.0004631647999999999,,,
openai-gpt-4.1,family4_codegen,25,0.0,0.0,5693.077048268169,8070.184207963757,0.0,500.0,0.0008456050249207021,0.0002536815074762106,0.01808544,0.011875,0.005261570560000001,0.0005561561599999998,,,
