2026-03-03 15:13:54,642 | INFO | [1/75 |   1.3% | 0.24 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r20_001 family=family1_qa rep=0 lat_total_ms=4112.7 energy_kwh=8.04396e-05 src=ecologits err=None
2026-03-03 15:14:34,772 | INFO | [11/75 |  14.7% | 0.25 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r250_001 family=family1_qa rep=0 lat_total_ms=3953.1 energy_kwh=8.33311e-05 src=ecologits err=None
2026-03-03 15:15:18,664 | INFO | [21/75 |  28.0% | 0.24 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r1000_001 family=family1_qa rep=0 lat_total_ms=3925.4 energy_kwh=8.3266e-05 src=ecologits err=None
2026-03-03 15:16:00,799 | INFO | [31/75 |  41.3% | 0.24 it/s] model=openai-gpt-4.1 task=seds_f1_C3_r100_001 family=family1_qa rep=0 lat_total_ms=2713.7 energy_kwh=0.000391698 src=ecologits err=None
2026-03-03 15:16:44,842 | INFO | [41/75 |  54.7% | 0.24 it/s] model=openai-gpt-4.1 task=seds_f1_C3_r500_001 family=family1_qa rep=0 lat_total_ms=10754.7 energy_kwh=0.000529389 src=ecologits err=None
2026-03-03 15:17:33,503 | INFO | [51/75 |  68.0% | 0.23 it/s] model=openai-o3-mini task=seds_f1_C3_r20_001 family=family1_qa rep=0 lat_total_ms=224.7 energy_kwh=5.0364e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 15:17:35,528 | INFO | [61/75 |  81.3% | 0.27 it/s] model=openai-o3-mini task=seds_f1_C3_r250_001 family=family1_qa rep=0 lat_total_ms=179.8 energy_kwh=4.0132e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 15:17:37,903 | INFO | [71/75 |  94.7% | 0.31 it/s] model=openai-o3-mini task=seds_f1_C3_r1000_001 family=family1_qa rep=0 lat_total_ms=211.9 energy_kwh=4.7332e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 19:15:55,675 | INFO | [1/75 |   1.3% | 0.19 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r20_001 family=family1_qa rep=0 lat_total_ms=5199.7 energy_kwh=8.52699e-05 src=ecologits err=None
2026-03-03 19:16:35,766 | INFO | [11/75 |  14.7% | 0.24 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r250_001 family=family1_qa rep=0 lat_total_ms=4026.6 energy_kwh=8.285e-05 src=ecologits err=None
2026-03-03 19:17:22,462 | INFO | [21/75 |  28.0% | 0.23 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r1000_001 family=family1_qa rep=0 lat_total_ms=3891.9 energy_kwh=8.35113e-05 src=ecologits err=None
2026-03-03 19:18:07,720 | INFO | [31/75 |  41.3% | 0.23 it/s] model=openai-gpt-4.1 task=seds_f1_C3_r100_001 family=family1_qa rep=0 lat_total_ms=3889.4 energy_kwh=0.000406403 src=ecologits err=None
2026-03-03 19:18:50,949 | INFO | [41/75 |  54.7% | 0.23 it/s] model=openai-gpt-4.1 task=seds_f1_C3_r500_001 family=family1_qa rep=0 lat_total_ms=6323.7 energy_kwh=0.000460071 src=ecologits err=None
2026-03-03 19:19:54,943 | INFO | [51/75 |  68.0% | 0.21 it/s] model=openai-o3-mini task=seds_f1_C3_r20_001 family=family1_qa rep=0 lat_total_ms=4492.3 energy_kwh=3.39717e-05 src=ecologits err=None
2026-03-03 19:20:45,931 | INFO | [61/75 |  81.3% | 0.21 it/s] model=openai-o3-mini task=seds_f1_C3_r250_001 family=family1_qa rep=0 lat_total_ms=4706.3 energy_kwh=3.4143e-05 src=ecologits err=None
2026-03-03 19:21:46,849 | INFO | [71/75 |  94.7% | 0.20 it/s] model=openai-o3-mini task=seds_f1_C3_r1000_001 family=family1_qa rep=0 lat_total_ms=8094.7 energy_kwh=3.67898e-05 src=ecologits err=None
2026-03-05 10:13:43,773 | INFO | [1/75 |   1.3% | 0.25 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r20_001 family=family1_qa rep=0 lat_total_ms=3902.4 energy_kwh=7.96187e-05 src=ecologits err=None
2026-03-05 10:14:19,978 | INFO | [11/75 |  14.7% | 0.27 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r250_001 family=family1_qa rep=0 lat_total_ms=4085.6 energy_kwh=8.29889e-05 src=ecologits err=None
2026-03-05 10:15:06,040 | INFO | [21/75 |  28.0% | 0.24 it/s] model=openai-gpt-4.1-mini task=seds_f1_C3_r1000_001 family=family1_qa rep=0 lat_total_ms=4052.3 energy_kwh=7.8344e-05 src=ecologits err=None
2026-03-05 10:15:43,330 | INFO | [31/75 |  41.3% | 0.25 it/s] model=openai-gpt-4.1 task=seds_f1_C3_r100_001 family=family1_qa rep=0 lat_total_ms=2581.8 energy_kwh=0.000369921 src=ecologits err=None
2026-03-05 10:16:12,047 | INFO | [41/75 |  54.7% | 0.27 it/s] model=openai-gpt-4.1 task=seds_f1_C3_r500_001 family=family1_qa rep=0 lat_total_ms=3446.5 energy_kwh=0.000419454 src=ecologits err=None
2026-03-05 10:16:51,754 | INFO | [51/75 |  68.0% | 0.27 it/s] model=openai-o3-mini task=seds_f1_C3_r20_001 family=family1_qa rep=0 lat_total_ms=242.1 energy_kwh=5.4332e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 10:16:53,797 | INFO | [61/75 |  81.3% | 0.31 it/s] model=openai-o3-mini task=seds_f1_C3_r250_001 family=family1_qa rep=0 lat_total_ms=216.8 energy_kwh=4.84219e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 10:16:55,971 | INFO | [71/75 |  94.7% | 0.36 it/s] model=openai-o3-mini task=seds_f1_C3_r1000_001 family=family1_qa rep=0 lat_total_ms=212.3 energy_kwh=4.73428e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
