model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-7b-instruct,family1_qa,450,0.16666666666666666,0.9866666666666667,15052.1676648522,24576.075777155347,0.0,161.5088888888889,3.345095005930471e-05,1.0035285017791415e-05,0.0,-0.2265625,0.001407080675555539,0.0008930416355555549,13352226.625677668,103039890.62966754,
ollama-mistral-latest,family1_qa,450,0.13333333333333333,0.9444444444444444,15697.668244827331,25365.974412497588,0.0,163.36666666666667,3.488552401550201e-05,1.0465657204650602e-05,0.0,-0.25340277777777775,0.0014371453155555337,0.0010376374044444498,53351034.31363636,248347819.18001455,
ollama-mistral-7b-instruct,family1_qa,450,0.13333333333333333,0.9444444444444444,15934.909993081561,25864.39323967786,0.0,163.36666666666667,3.5412554932833103e-05,1.062376647984993e-05,0.0,-0.1803125,0.0013923214222221958,0.0008468512711111193,53351034.31363636,248347819.18001455,
ollama-gemma-latest,family1_qa,450,0.12666666666666668,0.96,13612.350869013204,19453.820676961914,0.0,87.28222222222222,3.025168791210412e-05,9.075506373631235e-06,0.0,-0.4219791666666667,0.0014274559999999624,0.0013231775288888889,5013107.674876847,5791976.09582053,
ollama-qwen2.5-3b-instruct,family1_qa,450,0.10666666666666667,1.0,6506.842274454732,11107.865412440142,0.0,125.67555555555556,1.4461115747708933e-05,4.338334724312679e-06,0.0,-0.20840277777777777,0.0013624658488888923,0.000634802951111111,3554525.702811245,4674601.506526485,
ollama-llama3-latest,family1_qa,450,0.09333333333333334,0.8377777777777777,12187.597860161008,18830.476928548887,0.0,89.67555555555556,2.7085122055643867e-05,8.12553661669316e-06,0.0,-0.19777777777777777,0.0013940622222222505,0.0007462422755555556,5108158.782493369,5838721.367609484,
ollama-deepseek-coder-latest,family1_qa,450,0.0,0.006666666666666667,3322.0380573057464,6360.371214465704,0.0,176.5888888888889,7.383784998175028e-06,2.2151354994525086e-06,0.0,-0.11916666666666667,0.0013640362666665832,0.0006495175111111222,4937816.0,4937816.0,
ollama-qwen-latest,family1_qa,450,0.0,0.0,7700.682598428491,14877.396341436535,0.0,226.87012987012986,1.71147627706425e-05,5.1344288311927495e-06,0.0,-0.3653125,0.0015428266666667886,0.001365081884444456,,,
ollama-llama2-latest,family1_qa,450,0.0,0.07333333333333333,13243.482762779524,22703.409206541248,0.0,129.14093959731542,2.9434402499433864e-05,8.830320749830157e-06,0.0,-1.1886805555555555,0.001763091342222162,0.00428600433777777,3905937.272727273,4817342.183768443,
ollama-codellama-latest,family1_qa,450,0.0,0.0044444444444444444,15891.652692970303,28599.003548256587,0.0,243.40666666666667,3.531878853628533e-05,1.05956365608856e-05,0.0,-1.1086805555555554,0.0016985383822219705,0.003756613404444452,7127774.0,7127774.0,
