model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
openai-gpt-4.1,family2_anomaly,20,30,1.0,1.0,3028.4382694129213,4145.030458451947,0.0,164.4,0.0002924788697266161,8.774366091798484e-05,0.0028993999999999995,0.0005208333333333333,0.005426022400000096,0.0007171936000000008,,,1.0
openai-gpt-4.1-mini,family2_anomaly,20,30,1.0,1.0,3101.0000959426784,4095.3936561942096,0.0,153.33333333333334,5.7296731355693666e-05,1.71890194067081e-05,0.0005621733333333335,0.08229166666666667,0.005197960533333361,0.0009910146666666634,,,1.0
openai-o3-mini,family2_anomaly,20,30,0.0,0.0,257.8436555690132,543.5665772180068,1.0,,5.759652477618282e-07,1.7278957432854845e-07,0.0,0.014583333333333334,0.003398724266666638,0.0006596288000000043,,,0.0
openai-gpt-4.1-mini,family2_anomaly,100,30,1.0,1.0,3067.0917457745722,3895.356258389074,0.0,162.63333333333333,6.0251418987684374e-05,1.8075425696305313e-05,0.001472466666666667,0.0015625,0.00505304746666669,0.0006462853333333388,,,1.0
openai-gpt-4.1,family2_anomaly,100,30,1.0,1.0,3386.9937082985416,5075.929818744768,0.0,189.06666666666666,0.0003351688153695635,0.00010055064461086901,0.007573800000000001,0.0,0.004977442133333317,0.0005725632000000036,,,1.0
openai-o3-mini,family2_anomaly,100,30,0.0,0.0,222.40803616975123,297.56552049075253,1.0,,4.967378896893942e-07,1.4902136690681825e-07,0.0,0.0015625,0.0029192191999999413,0.00048320213333333435,,,0.0
openai-gpt-4.1,family2_anomaly,250,30,1.0,1.0,3895.5626040658294,5962.742356274973,0.0,181.5,0.0003298043171281007,9.894129513843017e-05,0.015978733333333335,-3.146354166666667,0.004954555733333462,0.0006021290666666698,,,1.0
openai-gpt-4.1-mini,family2_anomaly,250,30,1.0,1.0,4035.244540311396,6678.56039180769,0.0,172.23333333333332,6.565322600316355e-05,1.969596780094906e-05,0.0031809199999999994,0.004166666666666667,0.004870408533333403,0.0005529744000000012,,,1.0
openai-o3-mini,family2_anomaly,250,30,0.0,0.0,267.76505127782,462.3878814221823,1.0,,5.973412715803405e-07,1.7920238147410218e-07,0.0,-0.025,0.002705066666666293,0.0004385642666666652,,,0.0
openai-gpt-4.1,family2_anomaly,500,30,1.0,1.0,3999.517738772556,6051.351348240859,0.0,188.76666666666668,0.000342358856913007,0.00010270765707390212,0.030065200000000004,0.0,0.005040315733333411,0.000553027200000004,,,1.0
openai-gpt-4.1-mini,family2_anomaly,500,30,1.0,1.0,5350.70738059391,7382.644109986722,0.0,175.13333333333333,6.94745705716703e-05,2.084237117150109e-05,0.005991226666666668,0.0,0.0047357610666666885,0.0005097279999999991,,,1.0
openai-o3-mini,family2_anomaly,500,30,0.0,0.0,246.55382359245172,312.279333511833,1.0,,5.502577618033319e-07,1.6507732854099961e-07,0.0,0.0046875,0.00270475946666681,0.0005104554666666687,,,0.0
openai-gpt-4.1,family2_anomaly,1000,30,1.0,1.0,5539.358247191801,10741.999545664294,0.0,183.66666666666666,0.000353148223153608,0.00010594446694608241,0.05788379999999999,-0.0020833333333333333,0.004580386133333351,0.00047411733333332375,,,1.0
openai-gpt-4.1-mini,family2_anomaly,1000,30,1.0,1.0,6109.430949933206,10178.452625015048,0.0,177.66666666666666,7.22874183515672e-05,2.1686225505470144e-05,0.011567160000000002,0.0,0.00466537813333335,0.0005256938666666656,,,1.0
openai-o3-mini,family2_anomaly,1000,30,0.0,0.0,276.79249447149533,257.69642497762106,1.0,,6.172221968361271e-07,1.8516665905083816e-07,0.0,0.0,0.0024909141333332957,0.0004074464000000074,,,0.0
