2026-03-03 20:17:13,159 | INFO | [41/75 |  54.7% | 0.21 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L500_001 family=family2_anomaly rep=0 lat_total_ms=4710.7 energy_kwh=0.000388791 src=ecologits err=None
2026-03-03 20:18:39,565 | INFO | [51/75 |  68.0% | 0.18 it/s] model=openai-o3-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=4184.9 energy_kwh=3.37358e-05 src=ecologits err=None
2026-03-03 20:19:31,826 | INFO | [61/75 |  81.3% | 0.18 it/s] model=openai-o3-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=6366.0 energy_kwh=3.54394e-05 src=ecologits err=None
2026-03-03 20:20:25,081 | INFO | [71/75 |  94.7% | 0.18 it/s] model=openai-o3-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=5531.2 energy_kwh=3.47873e-05 src=ecologits err=None
2026-03-05 02:47:54,138 | INFO | [1/75 |   1.3% | 0.40 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=2386.0 energy_kwh=6.5626e-05 src=ecologits err=None
2026-03-05 02:48:24,325 | INFO | [11/75 |  14.7% | 0.34 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=3246.9 energy_kwh=8.75489e-05 src=ecologits err=None
2026-03-05 02:49:02,639 | INFO | [21/75 |  28.0% | 0.30 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=4994.5 energy_kwh=9.13188e-05 src=ecologits err=None
2026-03-05 02:49:36,242 | INFO | [31/75 |  41.3% | 0.30 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L100_001 family=family2_anomaly rep=0 lat_total_ms=2751.6 energy_kwh=0.00036739 src=ecologits err=None
2026-03-05 02:50:10,145 | INFO | [41/75 |  54.7% | 0.30 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L500_001 family=family2_anomaly rep=0 lat_total_ms=6093.7 energy_kwh=0.000387488 src=ecologits err=None
2026-03-05 02:51:01,597 | INFO | [51/75 |  68.0% | 0.27 it/s] model=openai-o3-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=234.2 energy_kwh=5.24747e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 02:51:03,980 | INFO | [61/75 |  81.3% | 0.32 it/s] model=openai-o3-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=177.3 energy_kwh=3.96427e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 02:51:06,553 | INFO | [71/75 |  94.7% | 0.36 it/s] model=openai-o3-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=195.9 energy_kwh=4.37546e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
